TIME,RECV,XMIT
4,0,0
107,0,0
210,0,0
313,0,0
416,0,0
520,0,0
623,0,0
726,0,0
829,0,0
932,0,0
1036,0,0
1138,0,0
1242,0,0
1345,0,0
1448,634144,95223128
1551,1296764,191869040
1654,1822548,269840912
1757,2932440,434577792
1860,3738404,549476072
1963,3986232,585839784
2066,4098064,602483048
2169,4194692,616834968
2272,4305992,633275568
2375,4450892,655378352
2478,5003416,736795512
2581,6137192,904733656
2684,6790432,1000262848
2787,7040444,1036969848
2890,7165828,1055652160
2994,7275616,1071803240
3097,7400328,1090088496
3200,7612596,1121724760
3303,8180184,1206632704
3406,9244156,1363631128
3509,9847528,1452356600
3613,10096952,1488728584
3716,10237764,1509416856
3819,113877808,1551592888
3922,230528616,1698782272
4025,309887764,1876997080
4128,473828032,1941245360
4232,613714824,2048374088
4334,718470928,2175790248
4437,898143460,2177538248
4541,1079770472,2179301944
4643,1257783252,2181026384
4747,1434540580,2182740384
4850,1611766472,2184462384
4953,1789304672,2186181424
5057,1965564432,2187893664
5160,2144145544,2189622384
5263,2176441048,2189923344
