RATIO,CPU,PAGE_FAULT_HIT,PAGE_FAULT_TIME,PAGE_FAULT_S2,SWAPIN_HIT,SWAPIN_TIME,SWAPIN_S2,EVICT_HIT,EVICT_TIME,EVICT_S2,SYNC_TIME
100,0,99277,134557.0,2938.274,,,,,,,6197.293
100,1,1480,2489.889,2.316,,,,,,,133.892
100,2,2132,4478.388,4455.981,,,,,,,1366.938
100,3,6913,11174.60,173.796,,,,,,,
100,4,5498,8862.873,405.354,,,,,,,
90,0,117038,187183.1,180594.5,67,521.016,29.701,2,58042.37,434977365,35424.39
90,1,19566,57141.60,57309.76,,,,2,45846.21,542926180,32804.11
90,2,18329,55758.10,31755.37,,,,2,48934.05,655165375,32744.28
90,3,7460,11718.86,27.261,,,,,,,
90,4,6603,10289.28,137.292,28,191.415,13.736,,,,
80,0,119696,197693.3,79214.36,47,354.759,37.407,4,72589.84,1238111,40599.81
80,1,27081,71492.51,17237.81,16,122.632,55.553,1,30190.72,0.000,38696.77
80,2,21931,61018.56,8931.221,1,9.410,0.000,1,30668.53,0.000,34203.28
80,3,6456,10066.11,25.688,,,,,,,
80,4,6496,10453.33,24.891,,,,,,,
70,0,120082,204298.5,210594.0,70,576.587,55.614,5,74474.23,16741870,43812.78
70,1,27347,77654.48,124582.0,56,483.848,69.897,1,8566.779,0.000,43035.52
70,2,23902,71015.95,941525.3,,,,1,8316.686,0.000,41252.97
70,3,6208,9570.393,17.432,,,,,,,
70,4,5144,7905.830,85.904,,,,,,,
60,0,122606,213402.9,76516.54,131,1451.636,94.033,5,59594.66,89907328,47426.71
60,1,27053,77917.79,37632.79,54,547.994,75.302,2,42581.73,65252448,44761.90
60,2,43233,93007.10,144002.8,383,6263.852,130.220,2,40347.09,82773900,45722.65
60,3,6208,9977.087,16.812,,,,,,,
60,4,6550,10440.82,26.970,16,155.906,71.825,,,,
50,0,151685,252762.0,8873660,992,13817.57,126.429,1,21126.35,0.000,50805.17
50,1,53946,110152.9,64249.80,166,1551.495,90.766,,,,53812.05
50,2,70618,123053.3,526561.3,458,5858.492,116.128,2,50144.32,695507444,53713.32
50,3,7220,11794.74,161.659,,,,,,,
50,4,6762,10402.62,30.313,,,,,,,
40,0,409117,668461.0,3278909,1244,8478.360,20.309,7,108182.8,15943764,263706.6
40,1,295918,526057.9,2531440,1121,8061.642,29.185,7,102687.3,27811057,261855.6
40,2,297569,525851.7,1760504,1177,8264.413,25.630,11,213513.1,83531684,262180.1
40,3,7633,12326.03,52.188,28,176.165,11.788,,,,
40,4,7790,12005.67,191.877,2,39.216,372.372,,,,
30,0,442715,798020.9,1763295,98,772.262,27.869,4,53675.61,49780256,343633.6
30,1,326052,627803.4,8739645,1,35.931,0.000,1,20284.88,0.000,326066.0
30,2,315591,612988.7,3267605,40,376.635,47.771,1,20438.31,0.000,316292.8
30,3,8368,13059.43,102.948,30,214.014,20.099,,,,
30,4,9501,14227.89,2754.479,2,35.808,290.501,,,,
20,0,449911,904406.9,4384327,118,859.721,19.276,4,41400.34,14269485,414613.5
20,1,326005,723719.6,1363502,3,34.042,24.594,1,15872.71,0.000,388904.2
20,2,326943,730978.2,2301860,17,154.933,63.025,1,15194.02,0.000,394669.3
20,3,9010,14139.72,46.088,38,288.692,22.539,,,,
20,4,7803,12474.75,182.792,2,36.399,291.828,,,,
10,0,456686,980914.3,4290000,835,5236.429,12.795,6,53044.57,8583628,456390.4
10,1,330258,796078.9,1882994,649,3943.346,10.734,1,13802.62,0.000,430373.7
10,2,332120,800761.1,563106884,1307,7497.822,4.738,4,48327.22,1605293,432017.5
10,3,9660,15682.39,53.156,,,,,,,
10,4,9508,15489.83,879.487,,,,,,,
5,0,503382,1433766,5910185,11833,64483.52,1773.279,5,31564.81,249689.6,626348.4
5,1,374866,1243823,9149297,10806,41344.05,3874.483,1,6981.762,0.000,599281.5
5,2,376067,1242291,9447363,11473,54893.38,1465.164,1,6969.816,0.000,602783.0
5,3,10412,15652.66,221.392,16,118.913,45.702,,,,
5,4,10100,14772.27,60.765,29,196.777,12.109,,,,
