TIME,RECV,XMIT
4,0,0
107,0,0
210,0,0
313,0,0
416,107128,17296752
519,976364,133796184
622,1484116,208260728
724,12262784,267440072
827,17312396,267761968
930,28265004,267878408
1034,36092912,268929016
1137,45630824,271338824
1240,49408436,271365304
1343,60118464,271469224
1446,67690128,271542624
1549,73909120,271615504
1652,91706640,309705240
1755,100840180,317138896
1859,113361032,319753264
1962,113361032,319753264
2065,130083852,319917104
2168,139255628,320005224
2271,157830124,320184584
2375,166816320,320272984
2478,178982120,320389744
2580,179068724,320390584
2683,197041928,329212720
2787,206767396,334948184
2890,218356592,335172256
2992,219546592,335194096
3095,237632168,335359216
3198,248931928,335476856
3301,265423804,335630576
