TIME,RECV,XMIT
5,0,0
108,0,0
211,0,0
315,0,0
418,0,0
521,0,0
624,0,0
727,335384,50694952
831,939820,139341840
934,1832292,271077576
1037,2067380,305534592
1140,2171204,320717848
1244,2534588,375457808
1347,3374112,498958768
1450,3606484,532729208
1554,3726128,550555368
1656,4121348,609183168
1760,4909884,725524712
1863,5146652,760519408
1966,5284552,781182864
2070,5708304,844438848
2173,6441344,951524024
2277,6687856,988073856
2379,6841604,1010821856
2483,7305620,1080170168
2587,7982940,1179612016
2690,8239056,1217067632
2793,8402772,1241474168
2896,8895600,1315119784
2999,9528456,1407836496
3103,9787708,1445929056
3206,9967048,1472548352
3309,10489052,1550205888
3412,11080048,1637198376
3516,11334820,1674579544
3619,11540424,1705181808
3722,12082728,1785354032
3825,17184952,1869288928
3928,162801440,1968961336
4031,279002412,2107848136
4134,432701232,2173122888
4238,603166772,2174778888
4341,773714364,2176429528
4444,944023704,2178094656
4548,1113924256,2179745296
4651,1284406292,2181395616
4753,1453123256,2183030096
4856,1624063056,2184687296
4960,1794796656,2186345296
5063,1965291064,2188001296
5167,2134387436,2189642736
