TIME,RECV,XMIT
4,0,0
108,0,0
211,0,0
315,0,0
419,0,0
522,0,0
625,0,0
729,0,0
832,0,0
936,0,0
1039,0,0
1143,0,0
1246,0,0
1350,0,0
1454,0,0
1557,0,0
1661,0,0
1765,0,0
1868,108148,12929336
1972,112272,12929376
2076,112272,12929376
2179,116396,12929416
2283,116396,12929416
2386,142940,17375616
2489,472668,66614696
2593,887848,125056496
2696,5545272,246419240
2799,48544324,286952224
2902,94917120,305360112
3005,96249172,305372992
3109,97523488,305385232
3212,98785432,305397392
3316,99936028,305408632
3419,101020640,305419352
3522,102192092,315426504
3625,103374400,327220648
3728,104506284,333604784
3831,105631940,337850968
3935,106737384,345202328
4038,107720204,359169968
4141,108829452,386211904
4244,110016316,408237952
4347,111088228,411643648
4450,112088120,419850520
4553,142775860,481667040
4656,195479324,538201224
4759,250885484,596271096
4862,311295672,631327552
4965,354739548,691253800
5068,410283020,739009896
5171,461374624,761951248
5274,471762980,762046848
5377,472781608,762056888
5481,473742500,762066328
5584,474686896,762075488
5687,475668408,762084728
5790,476678788,762094528
5894,477664424,762104408
5997,481992932,824638008
6100,494625280,860778552
6203,508396232,861656792
6306,522016696,888435240
6409,534328952,921760304
6512,547619824,945388576
6615,564147540,963176008
6718,584020672,982814960
6821,603508356,1010373848
6924,622948376,1042482056
7027,642649012,1054906304
7130,662278532,1072148472
7233,681993232,1093874544
7336,701717164,1114181968
7439,721336252,1134666040
7542,740851916,1151869584
7645,768723456,1168828264
7748,796563204,1188441416
7851,832626024,1205139864
7954,863267164,1221235104
8056,917484520,1245286632
8159,929013296,1280992384
8262,941765124,1307295104
8365,955699864,1322087448
8468,971014324,1328807312
8571,987362704,1348271760
8674,1005387512,1377248264
8777,1024321388,1409040872
8880,1043645864,1421912904
8983,1062796768,1438997520
9086,1082386004,1453257112
9189,1101855612,1465609448
9293,1121763660,1490389168
9396,1142498840,1510648408
9499,1163289260,1528712112
9602,1184442112,1544881112
9705,1206346612,1564262872
9808,1230332028,1582379496
9911,1258993992,1600949064
10014,1291077904,1620115848
10117,1330758188,1635335760
10220,1361668488,1646740464
10322,1440866300,1649118400
10425,1461023972,1746392152
10528,1489194104,1794652640
10631,1547258680,1829129160
10734,1554711084,1927317200
10837,1592817008,1977078312
10940,1659028552,2010088728
11043,1690691808,2085197456
11145,1739133316,2118243552
11248,1789781884,2177329344
11351,1849745892,2230816552
11454,1903428140,2274212304
11557,1953656484,2318132952
11660,1991363856,2377920880
11763,2042131396,2410176664
11866,2102869088,2436403688
11969,2117635032,2521509728
12073,2258658420,2531734312
12176,2319873820,2605384784
