TIME,RECV,XMIT
4,0,0
107,0,0
211,0,0
314,0,0
417,0,0
520,519260,78426832
623,12003876,176604624
726,12420400,176608544
829,23296092,195701200
933,23469300,195703000
1035,34135196,204516136
1138,43166744,208440112
1240,45064548,215697624
1343,55939812,222544384
1445,56302724,222547864
1549,67037744,225125152
1651,67037744,225125152
1755,79747756,230707592
1858,83219496,232470520
1961,99298764,239904920
2064,105880668,239969600
2168,116934920,244625200
2271,122580676,244864312
2374,136506480,253020344
2477,154229512,258492664
2581,155053696,262145792
2684,167440200,264409040
2787,176904372,265658520
2890,192372368,274778464
2994,197407772,274828144
