TIME,RECV,XMIT
4,0,0
108,0,0
211,0,0
313,0,0
416,0,0
520,731948,109177992
623,11960376,167133344
725,12166576,167135264
828,12166576,167135264
931,23067728,185115616
1034,23265680,185117536
1137,33919752,197632232
1240,33923644,197632232
1343,33923644,197632232
1446,44622540,210101832
1549,45036052,210879224
1652,45198120,211062808
1755,55968744,221944944
1858,56422384,221949344
1961,56554352,221950624
2064,67129264,224633888
2166,67129264,224633888
2269,72738076,226858696
2372,80957440,230310688
2475,84113236,231697016
2578,95621664,238264552
2681,101741680,238325472
2784,107849324,238383912
2886,120548712,241177968
2989,120548712,241177968
3092,120548712,241177968
3195,132900372,249867000
3298,139113280,253901696
3401,145333416,256567536
3504,158711144,262710640
3607,158711144,262710640
3709,158711144,262710640
3812,172697592,264964592
3915,178909160,266364016
4018,185140588,270088712
4121,197236220,272634304
4224,199113536,272784256
