RATIO,CPU,PAGE_FAULT_HIT,PAGE_FAULT_TIME,PAGE_FAULT_S2,SWAPIN_HIT,SWAPIN_TIME,SWAPIN_S2,EVICT_HIT,EVICT_TIME,EVICT_S2,SYNC_TIME
100,0,81,133.268,0.914,,,,,,,
100,1,217,350.393,0.886,,,,,,,
100,2,79,106.009,0.548,,,,,,,
100,3,78,96.749,0.769,,,,,,,
100,4,138,203.484,0.888,,,,,,,
90,0,124,207.208,0.651,,,,,,,
90,1,73,103.567,0.647,,,,,,,
90,2,33,39.654,0.828,,,,,,,
90,3,118,174.302,0.455,,,,,,,
90,4,,,,,,,,,,
80,0,82,115.203,0.738,,,,,,,
80,1,5,13.189,1.028,,,,,,,
80,2,,,,,,,,,,
80,3,188,319.905,0.873,,,,,,,
80,4,120,180.843,0.484,,,,,,,
70,0,77,114.000,0.900,,,,,,,
70,1,5,16.498,3.886,,,,,,,
70,2,5,11.024,1.286,,,,,,,
70,3,75,123.912,0.781,,,,,,,
70,4,13,20.977,0.964,,,,,,,
60,0,78,117.379,0.864,,,,,,,
60,1,112,181.797,0.566,,,,,,,
60,2,75,134.515,1.101,,,,,,,
60,3,,,,,,,,,,
60,4,77,109.411,0.641,,,,,,,
50,0,59,98.453,0.532,,,,,,,
50,1,121,197.496,0.802,,,,,,,
50,2,78,116.344,0.693,,,,,,,
50,3,119,179.993,0.514,,,,,,,
50,4,,,,,,,,,,
40,0,5,8.517,0.723,,,,,,,
40,1,90,117.022,0.805,,,,,,,
40,2,108,180.852,3.897,,,,,,,
40,3,,,,,,,,,,
40,4,76,135.131,1.229,,,,,,,
30,0,5,9.686,1.277,,,,,,,
30,1,124,201.502,0.741,,,,,,,
30,2,108,161.113,0.513,,,,,,,
30,3,172,238.727,0.630,,,,,,,
30,4,44,43.213,0.993,,,,,,,
20,0,75,144.432,1.313,,,,,,,
20,1,4,11.230,1.309,,,,,,,
20,2,13,23.878,1.838,,,,,,,
20,3,247,373.204,1.007,,,,,,,
20,4,76,104.817,0.765,,,,,,,
10,0,112,179.292,0.616,,,,,,,
10,1,,,,,,,,,,
10,2,121,259.831,1.255,,,,,,,
10,3,111,196.685,0.759,,,,,,,
10,4,22,19.397,0.784,,,,,,,
5,0,112,193.062,0.698,,,,,,,
5,1,54,102.376,0.733,,,,,,,
5,2,78,114.019,0.677,,,,,,,
5,3,,,,,,,,,,
5,4,48,73.770,1.047,,,,,,,
