TIME,RECV,XMIT
4,0,0
107,0,0
210,0,0
313,0,0
417,0,0
520,0,0
623,0,0
726,0,0
829,0,0
932,0,0
1036,0,0
1139,0,0
1242,0,0
1345,0,0
1449,0,0
1552,0,0
1656,0,0
1759,0,0
1862,0,0
1965,0,0
2069,0,0
2172,0,0
2275,0,0
2378,0,0
2482,0,0
2585,0,0
2689,0,0
2792,0,0
2895,0,0
2998,0,0
3102,0,0
3205,0,0
3308,0,0
3411,0,0
3514,0,0
3617,0,0
3720,0,0
3823,0,0
3926,0,0
4030,0,0
4133,0,0
4237,0,0
4340,0,0
4443,0,0
4546,0,0
4649,0,0
4753,0,0
4856,0,0
4959,0,0
5063,0,0
5166,0,0
5269,0,0
5372,0,0
5476,177772,26259464
5579,576332,80259400
5682,1111692,159699552
5785,1287140,185975560
5888,1530852,221553432
5991,1730548,250753592
6094,1800656,259282144
6197,2072576,283830344
6300,2449008,339914504
6403,2741160,382370544
6506,2741160,382370544
6609,2857592,390432208
6712,3360488,438568736
6815,4182728,444896144
6918,4989432,451471472
7021,5981164,466047184
7124,8122924,561500104
7227,14743740,598728200
7330,21364288,704419000
7433,33450408,742676512
7536,48764924,770245112
7639,64192944,837790528
7742,85397708,848050704
7845,112896144,850472080
7949,158917212,854771112
8052,171004656,854888352
8156,172357328,854901472
8259,173672884,854914312
8362,175317092,877250744
8465,175793204,948658784
8568,176668624,1076312288
8671,177146896,1146392832
8774,183745184,1204269360
8877,228775140,1204706560
8980,271705980,1205119080
