TIME,RECV,XMIT
4,0,0
107,0,0
211,0,0
314,0,0
417,0,0
521,0,0
624,0,0
728,0,0
831,0,0
935,0,0
1038,0,0
1142,0,0
1245,0,0
1348,0,0
1451,0,0
1555,0,0
1658,0,0
1761,0,0
1865,0,0
1968,0,0
2071,0,0
2174,0,0
2277,0,0
2381,0,0
2484,257320,39842088
2586,774452,115770776
2689,1262968,186558416
2792,1760556,261118088
2895,2211020,326599240
2998,2807560,414770488
3101,3499244,516888328
3204,4072264,601531568
3307,4275544,631558928
3410,35593312,679841344
3513,145621356,733574016
3616,207905120,822801472
3719,250062352,899444320
3822,306353396,993735520
3925,396429512,1078628360
4028,503352996,1141267240
4131,615043648,1209570056
4234,690964672,1313486552
4336,726985596,1409683560
4439,800113560,1505841384
4542,902466520,1562956832
4645,1001887860,1629769376
4748,1089109464,1707585352
4851,1092517452,1710041928
