RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,6.72,0.20,0:06.92,11,101177,0,63
90,6.83,0.34,0:07.18,1194,154021,0,41799
80,6.50,0.39,0:06.90,1309,160784,0,49745
70,6.49,0.48,0:06.97,736,165796,0,58969
60,6.56,0.37,0:06.93,413,169489,0,65512
50,6.66,0.58,0:07.24,7782,253631,0,77117
40,7.28,1.63,0:08.92,2575,1042446,0,446026
30,7.82,1.77,0:09.60,47,1103085,0,577020
20,7.61,1.77,0:09.39,32,1103847,0,584224
10,7.63,2.34,0:09.98,35627,1152452,0,620648
5,7.92,2.88,0:10.81,16328,1676388,0,1082028
