TIME,RECV,XMIT
4,0,0
108,0,0
211,0,0
314,0,0
417,0,0
520,928676,139503144
623,12214800,203509464
726,12334396,203510624
829,23077416,203614824
933,23423832,203618184
1036,23687768,203620744
1139,34555324,214210224
1242,34555324,214210224
1345,38480152,215947712
1448,45438740,224092648
1551,45781816,224211776
1654,56537892,225639536
1757,56745212,225806976
1860,57099876,225810416
1963,67726472,234300744
2066,67726472,234300744
2169,79051244,237495840
2272,82878776,238819176
2375,84959420,239765760
2478,99776944,244783368
2581,106486692,244848648
2684,119003032,244982688
2787,120739236,244984688
2890,120739236,244984688
2993,133725712,245114648
3096,140530312,245178648
3199,147334912,245242648
3301,158761908,248918480
3404,158761908,248918480
3507,170941020,252221120
3610,177746124,252361568
3713,184554084,252923888
3816,197539124,253446864
3919,202003980,253887200
