RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,7.18,0.17,0:03.94,0,101094,0,0
90,7.06,0.66,0:04.13,40618,112468,60920,41422
80,6.81,0.58,0:03.97,48124,114358,66767,48983
70,7.34,0.68,0:04.32,57432,116118,70356,58439
60,7.46,0.79,0:04.42,64680,148061,88340,66118
50,7.53,1.03,0:04.56,74411,280134,161987,88578
40,8.10,2.58,0:05.66,168340,784578,449578,477579
30,8.27,3.01,0:06.03,203250,874287,522592,574346
20,8.24,3.29,0:06.21,224648,879613,535313,597630
10,8.33,3.59,0:06.43,238899,869569,538223,601618
5,9.49,3.67,0:07.05,250118,902330,560973,624548
