TIME,RECV,XMIT
4,0,0
108,0,0
211,0,0
314,0,0
417,0,0
520,11398820,110985304
623,11398820,110985304
726,11398820,110985304
829,11398820,110985304
932,11398820,110985304
1035,22082436,129116568
1138,22082436,129116568
1242,22082436,129116568
1345,22082436,129116568
1449,22082436,129116568
1552,32749720,145444496
1655,32749720,145444496
1758,32749720,145444496
1862,32749720,145444496
1965,32749720,145444496
2068,43518816,157319232
2171,43535312,157319392
2275,43535312,157319392
2377,43535312,157319392
2481,43535312,157319392
2584,54281864,168300592
2687,54442700,168302152
2790,54442700,168302152
2894,54442700,168302152
2997,54442700,168302152
3100,65089684,181631480
3203,65089684,181631480
3307,65089684,181631480
3410,65089684,181631480
3513,66926616,185913080
3616,75872348,194292136
3720,76070300,194294056
3823,76218764,194295496
3926,76251756,194295816
4030,78887944,194462320
4133,86974176,195011904
4236,87225740,195014344
4339,87444312,195016464
4443,87539164,195017384
4546,91494528,195121920
4649,98104032,195607872
4752,98104032,195607872
4856,98104032,195607872
4959,98104032,195607872
5063,104725532,199084752
5166,112442108,213253480
5269,116106852,213677784
5372,119566888,213711344
5476,119818452,213713904
5579,120977296,213728824
5682,130611072,213835008
5785,130611072,213835008
5889,130611072,213835008
5992,130611072,213835008
6095,130611072,213838488
6199,143658164,221087416
6302,147354940,226243304
6405,151026572,227685064
6508,154709572,230806040
6612,157548624,247385976
6715,166925936,253621408
6818,167066152,253622768
6922,167128012,253623368
7025,170666404,253657688
