RATIO,CPU,PAGE_FAULT_HIT,PAGE_FAULT_TIME,PAGE_FAULT_S2,SWAPIN_HIT,SWAPIN_TIME,SWAPIN_S2,EVICT_HIT,EVICT_TIME,EVICT_S2,SYNC_TIME,LOCK_MINPF_HIT,LOCK_MINPF_TIME,LOCK_MINPF_S2,3PO_PF_HIT,3PO_PF_TIME,3PO_PF_S2,PREFETCH_TIME,SWAP_CACHE_READ_TIME,BUMP_NEXT_FETCH_TIME
100,0,98989,120449.7,2285.795,,,,,,,,,,,98989,3052.823,16.310,,,
100,1,769,1178.326,0.536,,,,,,,,,,,769,26.451,0.000,,,
100,2,652,994.044,0.250,,,,,,,,,,,652,21.858,0.000,,,
100,3,760,1156.220,0.303,,,,,,,,,,,760,25.853,0.000,,,
100,4,115,195.767,0.894,,,,,,,,,,,115,4.552,0.000,,,
90,0,116602,216248.2,36037.99,11407,79544.78,1226.173,1,13499.85,0.000,,17370,646.781,0.169,116602,3697.127,22.200,,,
90,1,14358,84418.67,799.632,10087,68131.93,258.310,1,43141.74,0.000,,13457,524.300,3.353,14358,535.028,0.034,,,
90,2,12525,77916.52,1212.072,9239,63329.76,189.697,1,42419.33,0.000,,11742,479.695,9.198,12525,469.495,0.056,,,
90,3,11715,81299.51,485.206,9940,67420.13,84972.18,1,40238.48,0.000,,10900,442.090,0.769,11715,443.494,0.033,,,
90,4,172,350.151,1.832,,,,,,,,,,,172,7.552,0.001,,,
80,0,116691,228637.5,54774.44,13430,90095.42,541.776,5,94616.75,45134701,,17468,649.185,0.448,116691,3811.495,26.429,,,
80,1,18822,104939.0,3183.898,12811,85259.18,1975.193,2,36270.03,8848036,,17722,694.589,11.066,18822,689.494,0.102,,,
80,2,20662,100851.0,4892.361,12036,80579.78,541.634,2,37210.81,16454232,,18067,672.718,0.030,20662,751.446,0.141,,,
80,3,18049,86101.88,1548.368,10456,69060.83,470.162,2,43405.92,161404711,,14938,566.738,0.133,18049,642.689,0.032,,,
80,4,116,272.758,17.758,4,47.897,77.323,,,,,6,0.249,0.000,116,6.562,0.000,,,
70,0,116484,248157.7,183045.7,16412,110198.9,1296.349,5,70003.88,10382847,,17473,709.964,69.937,116484,3697.716,52.886,,,
70,1,18279,118806.9,1726.397,14748,98502.69,867.274,1,12181.46,0.000,,17408,650.413,0.054,18279,694.158,0.066,,,
70,2,17689,109160.0,1600.791,13340,89547.00,1053.024,1,12980.10,0.000,,16896,633.368,1.357,17689,666.806,0.056,,,
70,3,23995,109513.7,45055.53,13376,86932.22,428.306,1,13397.00,0.000,,18800,727.894,3.954,23995,876.951,20.440,,,
70,4,187,321.842,1.592,,,,,,,,,,,187,7.699,0.000,,,
60,0,126157,260558.9,42312.92,17438,112488.6,935.348,5,63769.21,35696308,,22312,928.371,15.776,126157,4137.455,16.832,,,
60,1,22238,129794.7,14117.61,16663,107023.3,943.634,1,6761.156,0.000,,19443,733.555,2.856,22238,811.183,0.273,,,
60,2,36603,136744.2,5856.277,16371,105593.5,1786.542,1,6981.584,0.000,,26685,1095.246,20.960,36603,1291.057,0.091,,,
60,3,33970,123931.8,6943.993,14507,94342.46,542.777,1,6955.249,0.000,,24995,1200.920,70.983,33970,1195.685,0.098,,,
60,4,208,295.988,1.336,,,,,,,,,,,208,8.747,0.000,,,
50,0,140948,278503.5,76146.83,17487,116549.2,5104.231,1,25032.40,0.000,,30539,1167.653,45.892,140948,4648.010,45.945,,,
50,1,39329,153173.5,57617.67,17560,116960.0,1243.163,,,,,28046,1045.434,7.997,39329,1431.676,24.201,,,
50,2,34739,147830.1,5830.688,17191,113609.2,1018.593,,,,,25646,959.754,7.076,34739,1278.697,1.398,,,
50,3,53878,152266.3,12187.37,16032,106242.0,856.675,,,,,35008,1471.694,121.328,53878,1944.258,2.675,,,
50,4,168,320.308,5.356,,,,,,,,,,,168,6.560,0.001,,,
40,0,339933,761555.3,547836.8,47056,361690.0,14842.41,9,97359.15,23533153,,142791,28219.39,21857.59,339933,12135.96,484.200,,,
40,1,228707,579472.5,286922.5,40616,317356.7,72096.73,4,61379.17,7721862,,132305,26078.64,6488.394,228707,8430.821,148.842,,,
40,2,212025,573786.0,197301.1,43203,326366.6,10126.09,6,89120.66,28242199,,123490,23855.78,6056.871,212025,7912.795,125.537,,,
40,3,211688,592054.7,301092.7,46099,345302.6,8123.710,7,98335.35,7319337,,123652,25574.04,4614.557,211688,7989.235,227.611,,,
40,4,1,2.364,0.000,,,,,,,,,,,1,0.146,0.000,,,
30,0,365577,947354.4,437269.7,63694,485367.6,25048.85,6,92942.01,22898325,,165959,40111.44,15039.59,365577,13009.60,139.671,,,
30,1,243838,724077.3,634547.3,52380,407196.0,11148.42,3,38070.59,41007290,,141939,37024.55,11380.65,243838,9063.924,131.126,,,
30,2,234779,688143.0,239734.0,47670,378848.9,92514.21,4,56706.06,4270446,,137720,38430.07,394317.5,234779,8660.052,19.179,,,
30,3,230831,679429.4,220315.4,48413,375497.0,9066.210,4,60896.34,22177128,,135942,39256.54,10969.55,230831,8625.112,72.693,,,
30,4,157,275.779,2.442,,,,,,,,,,,157,6.534,0.000,,,
20,0,372283,1071430,452675.3,78924,577265.5,66324.14,4,46553.70,23675203,,173519,45519.64,58595.64,372283,13559.67,298.503,,,
20,1,243344,710586.4,682805.4,52408,408602.9,16409.48,1,16811.33,0.000,,141165,30422.11,7039.114,243344,9269.729,334.619,,,
20,2,243435,765045.6,402040.9,52486,425315.5,28935.68,1,16022.39,0.000,,142629,42958.79,23729.14,243435,9292.862,240.762,,,
20,3,241925,687603.4,223482.7,45409,367614.1,97428.56,3,28297.03,2076838,,140557,34653.77,9635.602,241925,9086.504,95.304,,,
20,4,,,,,,,,,,,,,,,,,,,
10,0,375460,1156328,5116699,84708,626424.8,33970.60,5,47757.26,7209831,,177516,61148.74,25305.70,375460,13684.62,3144.236,,,
10,1,244717,873460.3,948250.0,56583,490253.2,39705.27,1,13132.17,0.000,,144763,61041.37,78289.43,244717,9234.998,336.691,,,
10,2,244097,871287.2,408972.3,56707,489860.8,24320.64,1,13268.24,0.000,,145075,62868.28,65462.27,244097,9266.221,183.954,,,
10,3,244046,851521.9,307253.0,56339,475103.2,1399745,1,13052.92,0.000,,145091,62963.44,53822.22,244046,9147.096,146.479,,,
10,4,75,116.342,1.013,,,,,,,,,,,75,3.050,0.000,,,
5,0,583844,3317941,3655640,214975,1249211,5390553,7,41842.76,141692.1,,408591,1209982,4167223,583844,22699.59,1483.437,,,
5,1,449285,3032972,4396789,182566,936436.2,613558.4,1,6474.143,0.000,,377173,1377761,2963157,449285,18011.14,1281.435,,,
5,2,450033,3040059,109267870,184210,945085.6,263308.6,1,6333.169,0.000,,377169,1366962,1413471,450033,18240.98,38762.03,,,
5,3,452997,3056539,8638862,193128,1167901,1182962,1,6365.150,0.000,,371917,1189046,1206526,452997,18019.11,3466.050,,,
5,4,104,127.387,1.364,,,,,,,,,,,104,4.193,0.000,,,
