TIME,RECV,XMIT
4,0,0
107,0,0
211,0,0
314,0,0
417,0,0
520,7532,2448512
624,8589092,151227656
727,10947472,160679976
830,11116556,160681616
934,11339252,160683776
1037,21481988,173846920
1140,21659320,173848640
1243,21907480,174566528
1347,22109556,174568488
1451,22365168,178214544
1554,22743180,179839416
1657,22846280,179840416
1760,35066496,206278720
1864,35181968,206280240
1967,35326308,206281240
2071,35421160,206282160
2174,35652544,206958528
2277,35809256,206960048
2380,35887612,206960808
2483,50934360,236094072
2586,51158848,236360936
2690,51294940,236362256
2793,51469940,236628640
2897,51713256,236631000
3000,51845224,236632280
3103,52450548,237171528
3206,70079712,282941408
3309,73378912,282966928
3412,75440912,282986928
3515,77502912,283006928
3618,80802112,283038928
3722,82864112,283058928
3825,86575712,283098928
3928,105133712,283274928
4032,107195712,283294928
4135,109257712,283314928
4239,112556912,283346928
4342,114618912,283366928
4446,117505712,283394928
4549,125753712,283478928
4652,138950512,283602928
4755,141020044,284747920
4859,143084704,285164976
4962,145975396,285788560
5065,148449796,285816560
5168,151336596,285840560
5271,164127744,286961976
5375,172375744,287041336
5478,175674944,287073336
5582,176912144,287085336
5685,180966036,287125336
5789,183098144,287145336
5892,185160144,287165336
5995,203316204,287672160
6099,207027804,287704160
6202,208306244,287716560
6305,208920720,287722520
