TIME,RECV,XMIT
5,0,0
108,0,0
211,0,0
313,0,0
416,0,0
519,0,0
623,0,0
726,0,0
829,0,0
932,0,0
1035,0,0
1139,0,0
1242,0,0
1346,0,0
1450,0,0
1552,0,0
1655,0,0
1759,0,0
1862,0,0
1965,0,0
2068,0,0
2172,0,0
2275,0,0
2378,0,0
2481,0,0
2584,0,0
2687,0,0
2790,0,0
2893,0,0
2997,0,0
3100,0,0
3203,0,0
3306,0,0
3410,0,0
3513,0,0
3616,0,0
3719,0,0
3823,0,0
3926,0,0
4029,0,0
4132,0,0
4236,0,0
4339,0,0
4443,0,0
4546,0,0
4650,0,0
4753,0,0
4855,0,0
4958,0,0
5061,0,0
5164,0,0
5267,0,0
5370,0,0
5473,0,0
5575,0,0
5679,0,0
5782,0,0
5885,0,0
5988,0,0
6091,0,0
6195,0,0
6298,0,0
6401,0,0
6504,0,0
6607,0,0
6711,0,0
6814,294484,39064840
6917,677356,95182088
7020,1064428,152726256
7123,1458668,211651848
7226,1716716,248929616
7328,1809120,251395392
7431,50950704,251872032
7534,50950704,251872032
7637,50950704,251872032
7740,50950704,251872032
7843,50950704,251872032
7946,50950704,251872032
