TIME,RECV,XMIT
4,0,0
108,0,0
211,383068,57097480
314,936688,135925664
417,1264400,184552616
520,2170652,315763240
623,25833724,366560312
726,51666340,405914192
829,78894260,407592704
933,105964412,446900680
1036,132427564,459064088
1140,158604064,486717224
1243,190946600,513040528
1346,221675432,544563328
1449,250543432,544847328
1552,280500048,584171032
1655,308676724,604171752
1758,336918752,633825896
1861,370002116,647678888
1964,395796736,681297904
2067,422615084,683776760
2171,449652140,717778656
2273,476180728,738267832
2377,502265164,753504696
2480,534666444,788439152
2583,564151384,818968048
2686,593447240,821528520
2789,624173664,854350024
2892,652399984,880029472
2995,680648480,910647304
3098,713742316,926022344
3201,744462356,956234032
3304,772548788,962901576
3407,800797228,993526392
3511,831463648,1015842456
3614,859696716,1044160672
3717,892401560,1063001544
3820,918995836,1092904256
3923,945805616,1093722616
4026,971604212,1127915176
4129,999784584,1148457712
4232,1025464712,1165171128
4335,1057858572,1199013680
4438,1088175452,1230619200
4541,1116631892,1231635272
4643,1144876244,1261012712
4747,1175599056,1291642136
4850,1203834728,1321755376
4953,1236938672,1337217272
5055,1267647456,1365832464
5159,1295719188,1371435360
5262,1323995264,1404952936
5365,1354661908,1427289680
5468,1382895004,1455624440
5571,1414767012,1473898952
5674,1440537160,1503646408
5777,1469005080,1505360368
5880,1494781780,1536316408
5983,1522486556,1560496384
6086,1548664988,1576899600
6189,1580646000,1610634752
6292,1610133600,1642260952
6395,1639833820,1642921600
6498,1668074252,1672364808
6601,1698795720,1703138992
6704,1726206872,1731527520
6807,1758871592,1744417232
6910,1784629588,1772628728
7013,1812719044,1779737536
7116,1838497676,1810980720
7219,1865467364,1835423912
7322,1891127864,1849366072
7425,1923535500,1885076296
7528,1951750312,1910695640
7631,1983180492,1924478728
7734,2011374752,1946576400
7837,2041266464,1976242544
7940,2069463636,1999262544
8043,2103017976,2021752288
8146,2138271112,2051523008
8249,2173077072,2076141600
8353,2208726732,2105106720
8455,2240629428,2125778600
8559,2310382108,2193423928
