RATIO,CPU,PAGE_FAULT_HIT,PAGE_FAULT_TIME,PAGE_FAULT_S2,SWAPIN_HIT,SWAPIN_TIME,SWAPIN_S2,EVICT_HIT,EVICT_TIME,EVICT_S2,SYNC_TIME,LOCK_MINPF_HIT,LOCK_MINPF_TIME,LOCK_MINPF_S2,3PO_PF_HIT,3PO_PF_TIME,3PO_PF_S2,PREFETCH_TIME,SWAP_CACHE_READ_TIME,BUMP_NEXT_FETCH_TIME
100,0,599901,737656.2,173574.2,147,1281.249,4.989,,,,,80600,16027.32,1215.837,599901,18394.23,1139.104,,,
100,1,420,745.746,1.473,,,,,,,,,,,420,15.728,0.000,,,
100,2,387,699.831,9.748,8,87.603,204.129,,,,,20,1.397,0.014,387,15.762,0.000,,,
100,3,208,354.412,2.938,,,,,,,,2,0.100,0.000,208,24.311,1.214,,,
100,4,375,590.860,1.824,,,,,,,,,,,375,15.628,0.000,,,
90,0,786630,1152142,1360806,33213,263177.5,1234.197,17,287999.7,116237339,,266582,25917.15,19393.69,786630,25060.54,927.485,,,
90,1,525,960.251,4.263,1,40.725,0.000,,,,,7,0.366,0.002,525,20.084,0.000,,,
90,2,569,1009.491,1.114,,,,,,,,,,,569,22.452,0.000,,,
90,3,250,442.809,3.495,,,,,,,,,,,250,10.536,0.000,,,
90,4,249,424.255,1.112,,,,,,,,,,,249,10.259,0.000,,,
80,0,786499,1133958,1233499,33277,254701.8,1136.028,15,407057.3,470503898,,266813,25935.12,5407.922,786499,24523.20,1849.873,,,
80,1,187,296.872,0.855,,,,,,,,,,,187,7.262,0.000,,,
80,2,300,523.829,6.288,2,48.516,321.159,,,,,17,10.842,5.877,300,11.535,0.000,,,
80,3,440,768.303,1.745,,,,,,,,,,,440,18.623,0.000,,,
80,4,494,818.815,1.476,,,,,,,,,,,494,21.103,0.000,,,
70,0,786609,1100403,675650.5,33448,250000.4,2082.480,14,510120.3,165283538,,267972,30519.90,27538.33,786609,24182.05,844.398,,,
70,1,501,912.106,3.080,,,,,,,,,,,501,20.769,0.000,,,
70,2,231,374.548,1.876,,,,,,,,,,,231,9.652,0.000,,,
70,3,412,708.311,3.350,,,,,,,,,,,412,16.522,0.000,,,
70,4,259,449.966,2.267,,,,,,,,,,,259,10.261,0.000,,,
60,0,995306,1482727,1119754,73009,478026.2,80026.40,11,613844.7,1581764928,,472455,23517.50,5592.569,995306,30617.72,958.897,,,
60,1,370,682.084,6.308,5,59.346,187.901,,,,,8,0.288,0.000,370,14.499,0.000,,,
60,2,429,717.162,2.909,,,,,,,,,,,429,25.933,0.189,,,
60,3,565,937.291,1.494,,,,,,,,,,,565,21.606,0.000,,,
60,4,383,698.409,7.493,,,,,,,,,,,383,15.025,0.000,,,
50,0,1048724,1619895,37984149,82017,548146.6,28955.81,27,427760.2,179461131,,525623,24045.71,20540.37,1048724,33503.03,30717.92,,,
50,1,138,205.905,1.033,,,,,,,,,,,138,5.846,0.000,,,
50,2,247,364.678,0.664,,,,,,,,,,,247,10.301,0.000,,,
50,3,112,198.398,1.684,,,,,,,,,,,112,4.127,0.000,,,
50,4,119,214.843,4.903,1,19.026,0.000,,,,,6,0.310,0.001,119,4.650,0.000,,,
40,0,1048727,1608066,1971172,83560,543689.2,6885.099,18,440073.0,291131739,,525912,25064.75,5428.390,1048727,33187.92,2609.753,,,
40,1,305,611.922,9.358,5,72.981,165.044,,,,,16,0.635,0.000,305,12.205,0.000,,,
40,2,339,530.207,1.870,,,,,,,,,,,339,12.940,0.000,,,
40,3,197,366.437,2.009,,,,,,,,,,,197,7.516,0.000,,,
40,4,139,165.229,1.466,,,,,,,,,,,139,5.699,0.000,,,
30,0,1048652,1587395,1126192,81802,536060.0,4514.680,13,456433.0,598593581,,525474,23301.14,5389.185,1048652,32545.09,1264.822,,,
30,1,240,398.526,0.956,,,,,,,,,,,240,9.554,0.000,,,
30,2,217,351.544,1.338,,,,,,,,,,,217,8.561,0.000,,,
30,3,205,327.697,1.912,,,,,,,,,,,205,9.097,0.001,,,
30,4,516,821.015,1.389,,,,,,,,,,,516,20.804,0.000,,,
20,0,1048927,1630121,5789763,83231,541233.3,4756.150,10,545575.3,376363256,,525790,23908.91,44762.37,1048927,32926.27,7658.848,,,
20,1,,,,,,,,,,,,,,,,,,,
20,2,173,295.314,0.919,,,,,,,,,,,173,6.535,0.000,,,
20,3,399,683.461,1.515,,,,,,,,,,,399,15.303,0.000,,,
20,4,256,355.650,1.443,,,,,,,,,,,256,9.886,0.000,,,
10,0,1048726,1643408,300672433,82141,539747.7,4391.723,11,292095.2,75114334,,524983,20686.60,3435.253,1048726,33745.25,355919.8,,,
10,1,478,868.706,2.538,,,,,,,,,,,478,18.564,0.000,,,
10,2,338,557.632,2.253,,,,,,,,,,,338,13.638,0.000,,,
10,3,306,471.672,0.583,,,,,,,,,,,306,12.400,0.000,,,
10,4,176,245.908,0.680,,,,,,,,,,,176,7.272,0.000,,,
5,0,1048738,1669558,1141335,83629,547356.8,12693.97,2,27758.42,4941176,,525211,21331.67,7822.424,1048738,33434.10,1434.953,,,
5,1,174,406.799,7.737,,,,,,,,,,,174,7.364,0.001,,,
5,2,123,215.219,3.017,,,,,,,,,,,123,5.367,0.000,,,
5,3,163,168.398,1.267,,,,,,,,,,,163,6.504,0.000,,,
5,4,207,341.115,0.965,,,,,,,,,,,207,9.184,0.000,,,
