RATIO,CPU,PAGE_FAULT_HIT,PAGE_FAULT_TIME,PAGE_FAULT_S2,SWAPIN_HIT,SWAPIN_TIME,SWAPIN_S2,EVICT_HIT,EVICT_TIME,EVICT_S2,SYNC_TIME,LOCK_MINPF_HIT,LOCK_MINPF_TIME,LOCK_MINPF_S2,3PO_PF_HIT,3PO_PF_TIME,3PO_PF_S2,PREFETCH_TIME,SWAP_CACHE_READ_TIME,BUMP_NEXT_FETCH_TIME
100,0,99727,133291.9,3462.175,,,,,,,11264.57,,,,99727,20350.37,1446.048,,,
100,1,1424,3312.069,346.865,,,,,,,1316.025,,,,1424,1458.964,345.401,,,
100,2,213,332.340,0.727,,,,,,,,,,,213,8.737,0.000,,,
100,3,86,127.850,0.658,,,,,,,,,,,86,3.556,0.000,,,
100,4,,,,,,,,,,,,,,,,,,,
90,0,102904,183003.2,420338.9,119,1198.324,70.778,2,53176.72,259556831,55046.21,2313,648.046,11.474,102904,64515.43,414215.0,,,
90,1,6593,50177.84,112604.3,123,1007.230,75.398,2,64922.41,44141148,41571.37,3318,1367.990,16.450,6593,42231.45,111700.5,,,
90,2,92,135.946,2.875,,,,,,,,,,,92,3.817,0.000,,,
90,3,76,93.508,0.618,,,,,,,,,,,76,3.172,0.000,,,
90,4,86,173.649,2.748,,,,,,,,,,,86,3.310,0.000,,,
80,0,100799,196731.3,383539.4,299,2212.929,31.199,5,94808.67,40851871,66919.92,943,71.309,1.210,100799,76450.13,377694.4,,,
80,1,10679,63966.78,38285.29,1227,8806.715,34.578,1,31151.99,0.000,46430.45,5718,200.019,0.004,10679,47493.46,37737.79,,,
80,2,113,219.598,2.870,,,,,,,,,,,113,4.368,0.001,,,
80,3,309,588.156,6.042,9,87.487,93.514,,,,,16,0.701,0.000,309,11.721,0.000,,,
80,4,317,714.254,8.654,28,198.025,29.239,,,,,28,1.018,0.000,317,11.722,0.000,,,
70,0,100912,212283.7,300495.3,452,3146.049,32.077,5,63061.51,22272196,72209.50,1005,143.466,4.107,100912,81496.33,296371.4,,,
70,1,2424,59600.16,15294.46,4,130.230,2.005,,,,55800.86,822,35.797,0.001,2424,56080.02,15268.61,,,
70,2,177,306.312,2.576,,,,,,,,,,,177,6.929,0.000,,,
70,3,21,37.301,6.644,,,,,,,,,,,21,1.172,0.002,,,
70,4,195,373.632,3.141,,,,,,,,,,,195,7.659,0.000,,,
60,0,103185,210102.1,311817.2,117,952.516,44.968,4,71643.61,253440459,76210.38,655,62.478,1.670,103185,86156.05,308457.3,,,
60,1,9271,70813.59,2529972,215,1665.401,46.096,1,24427.05,0.000,60963.95,4238,164.634,0.858,9271,61962.65,2504904,,,
60,2,158,282.724,1.351,,,,,,,,,,,158,6.810,0.001,,,
60,3,209,325.893,1.226,,,,,,,,,,,209,8.497,0.000,,,
60,4,,,,,,,,,,,,,,,,,,,
50,0,135072,247363.1,467152.3,1563,11515.33,36.983,4,74796.39,148244446,79307.22,16918,625.427,8.557,135072,92421.96,456306.6,,,
50,1,60266,182392.2,289638.4,11046,73305.61,1682.727,3,72970.07,100278574,67840.36,30461,1187.978,4222.989,60266,73669.24,273049.6,,,
50,2,192,433.613,14.859,16,126.722,89.591,,,,,16,0.586,0.000,192,7.669,0.000,,,
50,3,20,38.449,5.179,,,,,,,,,,,20,1.031,0.001,,,
50,4,1,6.740,0.000,,,,,,,,,,,1,0.186,0.000,,,
40,0,319662,801532.0,9373680,10634,70231.44,1695.213,3,35194.15,26330523,443973.1,13654,658.228,17.561,319662,475626.3,9163899,,,
40,1,213338,654649.1,3084489,15812,102793.0,5302.990,1,29039.80,0.000,395325.6,18806,759.572,3.254,213338,416983.0,2986647,,,
40,2,295,608.680,19.862,16,158.678,156.099,,,,,16,7.793,2.983,295,12.332,0.000,,,
40,3,390,849.917,9.128,31,220.376,27.836,,,,,31,1.133,0.000,390,14.778,0.000,,,
40,4,138,209.215,0.781,,,,,,,,,,,138,5.656,0.000,,,
30,0,318437,894238.5,4277077,747,4443.033,14.521,5,70581.65,32465701,596661.5,5049,1559.034,11.540,318437,629197.0,4144670,,,
30,1,212513,644963.4,3245940,786,4882.459,21.438,1,26200.52,0.000,486477.2,4282,2254.857,50.550,212513,507932.6,3203651,,,
30,2,38,68.146,6.046,,,,,,,,,,,38,1.924,0.001,,,
30,3,,,,,,,,,,,,,,,,,,,
30,4,,,,,,,,,,,,,,,,,,,
20,0,321008,967170.3,11342011,1325,7490.745,10.013,8,104932.1,28984049,646145.1,7003,3719.269,83.765,321008,678536.3,11075606,,,
20,1,223912,775744.1,498751.5,1401,7674.541,7.271,5,89105.51,16023694,583133.9,6356,4762.921,105.619,223912,606240.4,315037.2,,,
20,2,48,204.847,34.870,16,120.930,42.585,,,,,16,0.696,0.000,48,2.313,0.001,,,
20,3,80,298.965,18.500,32,220.469,12.342,,,,,32,1.201,0.000,80,2.780,0.000,,,
20,4,74,113.765,0.785,,,,,,,,,,,74,2.909,0.000,,,
10,0,318987,836735.3,16892256,1299,7394.721,11.121,6,51686.23,9553539,541264.7,5368,2423.375,23.549,318987,573262.3,16023112,,,
10,1,220913,682101.4,5443772,783,3899.442,9.750,2,27681.80,3934576,518569.9,4726,5612.416,179.423,220913,541285.4,5370313,,,
10,2,20,37.041,2.548,,,,,,,,,,,20,1.252,0.002,,,
10,3,167,378.227,11.661,16,119.080,49.940,,,,,16,0.571,0.000,167,6.414,0.000,,,
10,4,290,445.884,5.272,5,59.325,140.110,,,,,5,0.221,0.000,290,10.897,0.000,,,
5,0,334884,810294.6,1041695,4186,24846.78,369.897,6,34338.79,403034.9,490199.4,14333,4940.224,133.389,334884,524138.9,729143.8,,,
5,1,487577,2346780,1541934,264231,1660789,326083.7,1,6559.946,0.000,250644.9,271379,26850.71,459604.9,487577,299637.3,116122634,,,
5,2,112,200.186,1.886,,,,,,,,,,,112,5.009,0.001,,,
5,3,22,42.702,4.951,,,,,,,,,,,22,1.225,0.001,,,
5,4,162,256.070,0.772,,,,,,,,,,,162,6.472,0.000,,,
