RATIO,CPU,PAGE_FAULT_HIT,PAGE_FAULT_TIME,PAGE_FAULT_S2,SWAPIN_HIT,SWAPIN_TIME,SWAPIN_S2,EVICT_HIT,EVICT_TIME,EVICT_S2,SYNC_TIME
100,0,525245,616649.7,40479.65,23,244.941,82.908,,,,
100,1,224,414.493,1.841,,,,,,,
100,2,403,548.839,1.286,,,,,,,
100,3,324,562.296,2.698,,,,,,,
100,4,425,788.393,6.458,,,,,,,
90,0,1048791,1691566,1497253,129548,788901.0,14951.49,68,1278823,127915568,
90,1,436,785.250,6.097,1,37.904,0.000,,,,
90,2,429,656.064,0.910,,,,,,,
90,3,56,76.140,2.406,,,,,,,
90,4,245,419.058,2.210,,,,,,,
80,0,1048719,1711069,1917699,130308,792430.1,15962.18,64,1358394,220935840,
80,1,326,618.395,1.946,,,,,,,
80,2,606,1018.501,5.014,,,,,,,
80,3,324,504.520,1.255,,,,,,,
80,4,347,728.782,6.287,2,46.302,581.405,,,,
70,0,1048721,1715812,2020945,130718,793525.2,20373.70,56,1142313,124315433,
70,1,495,877.696,1.992,,,,,,,
70,2,223,295.239,1.488,,,,,,,
70,3,396,639.640,1.121,,,,,,,
70,4,328,624.647,1.986,,,,,,,
60,0,1048845,1682756,9607150,131129,795967.0,18961.90,52,1113557,140667742,
60,1,500,904.865,1.651,,,,,,,
60,2,329,629.731,4.281,4,34.731,33.337,,,,
60,3,370,608.428,3.325,,,,,,,
60,4,509,844.823,1.593,,,,,,,
50,0,1048802,1656613,9369170,130314,784611.2,8457.562,66,1084389,85821785,
50,1,307,573.598,1.687,,,,,,,
50,2,228,231.039,0.739,,,,,,,
50,3,224,356.949,1.513,,,,,,,
50,4,357,639.217,1.686,,,,,,,
40,0,1048804,1715595,11563576,131272,788139.3,34901.01,54,914948.1,89148138,
40,1,179,324.442,5.088,,,,,,,
40,2,396,698.878,1.896,,,,,,,
40,3,273,438.664,2.959,,,,,,,
40,4,308,439.691,0.841,,,,,,,
30,0,1048734,1721292,1228849,130157,780999.7,23580.07,55,1034058,86068250,
30,1,76,119.981,1.001,,,,,,,
30,2,76,110.216,0.811,,,,,,,
30,3,107,187.826,0.725,,,,,,,
30,4,,,,,,,,,,
20,0,1048737,1736902,2923725,130492,777688.9,10227.21,53,960022.2,81163471,
20,1,333,522.248,0.868,,,,,,,
20,2,106,180.191,0.597,,,,,,,
20,3,,,,,,,,,,
20,4,274,419.368,1.244,,,,,,,
10,0,1048848,1758577,1891979,130422,779926.3,16558.44,55,872267.3,59461495,
10,1,84,156.563,5.382,5,35.678,5.761,,,,
10,2,253,417.686,1.301,,,,,,,
10,3,297,464.812,1.495,,,,,,,
10,4,213,362.242,1.550,,,,,,,
5,0,1048742,1757387,1355856,129966,773692.3,8126.779,38,894000.1,10761484,
5,1,286,515.439,1.746,,,,,,,
5,2,98,194.400,12.887,1,30.679,0.000,,,,
5,3,64,104.956,0.778,,,,,,,
5,4,143,203.297,0.829,,,,,,,
