TIME,RECV,XMIT
4,0,0
108,0,0
211,0,0
314,0,0
417,0,0
520,0,0
623,0,0
727,0,0
830,0,0
933,0,0
1036,0,0
1140,0,0
1243,0,0
1346,0,0
1449,0,0
1552,55664,9099200
1656,850612,126197632
1759,2198812,326810176
1862,3270176,484453816
1965,3605924,532646488
2068,3605924,532646488
2170,4060336,600410712
2273,4312112,636960544
2376,4347952,642254624
2479,4763416,705051512
2582,5891648,870731400
2685,6201888,916661680
2788,7315112,1081034592
2891,7383180,1090601160
2994,7383180,1090601160
3097,7700980,1138078304
3200,8105300,1197268600
3303,8153740,1204423880
3406,16130104,1230157136
3509,81066392,1439140680
3612,165435492,1632208640
3715,342592684,1661572504
3818,491643020,1752624120
3921,589779888,1901411832
4024,682628464,2067769056
4127,809916924,2168290880
4230,986218036,2178330144
4333,1167113172,2180084944
4436,1344812208,2181807504
4539,1520082208,2183509504
4642,1695414068,2185207504
4745,1870729736,2186909504
4848,2046680032,2188636184
4951,2176656140,2189884064
