RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,4.67,2.46,0:07.14,0,1445979,0,0
90,4.73,2.54,0:07.28,3226,1448635,195514,4617
80,4.80,2.62,0:07.43,3226,1448637,267789,5116
70,4.70,3.73,0:08.47,58990,1597984,551913,142827
60,4.91,5.29,0:10.22,123932,1957062,1032529,434197
50,5.12,7.63,0:12.77,271754,2308281,1535646,1197130
40,5.68,18.54,0:24.30,405426,4673928,4428028,4280374
30,5.97,21.04,0:27.09,353887,4878161,4758048,6666720
20,6.22,22.26,0:28.53,295002,4907434,4945061,8175830
10,6.06,22.71,0:28.80,31922,4938093,4995294,9764925
5,5.91,23.58,0:29.52,32476,4932108,4999431,10191232
