TIME,RECV,XMIT
5,0,0
108,0,0
212,0,0
315,0,0
418,0,0
522,0,0
625,0,0
728,0,0
832,0,0
935,299600,45392600
1038,1141224,169749712
1142,2261476,335317928
1245,2705836,399760944
1348,2766736,408686432
1451,2912924,430466608
1554,3087196,456258704
1658,4391856,648739872
1761,4955748,728151352
1864,5053832,742259248
1967,5098016,749216000
2070,5304936,779615600
2173,5941936,875446720
2276,6977404,1027432312
2379,7307132,1075103848
2482,7321468,1077221480
2585,7470792,1099543472
2688,7662452,1128516152
2791,8926428,1314297000
2894,9475844,1395515632
2997,9549120,1406277504
3100,9561664,1408382728
3203,9805684,1444308024
3307,10275328,1515418272
3411,11348624,1672731032
3514,11791276,1737475976
3617,146588012,1756989008
3720,228954812,1909292056
3824,306901460,2064777736
3927,473830764,2075979688
4030,578478384,2174254560
4133,748160364,2175900680
4236,918300136,2177555056
4339,1081946148,2179142136
4442,1248603668,2180758136
4545,1414817364,2182370296
4648,1580721760,2183980736
4751,1747702520,2185598736
4854,1912761496,2187199576
4957,2082183664,2188844536
5060,2177048036,2189751256
