TIME,RECV,XMIT
5,0,0
108,0,0
212,0,0
315,0,0
418,687092,102047528
522,1626232,236562896
625,18262480,315325376
728,27120832,315410456
831,50000784,315631616
935,56524952,315694896
1038,65443440,376440168
1141,70392240,376488168
1244,90055596,386645832
1347,98805932,399816272
1450,116602984,420402928
1553,127719212,442730824
1656,135375220,463174656
1759,146648880,463291656
1863,157723176,463391416
1966,176656164,486070880
2069,186011080,496766304
2172,203274512,543276560
2275,209650252,562230328
2378,211831848,562272248
2481,230243284,565644600
2584,247868256,584069000
2687,255625500,584128240
2790,272654016,588557416
2894,279625668,592666368
2997,296006252,592835120
3100,307883372,592950320
