TIME,RECV,XMIT
4,0,0
107,0,0
211,0,0
314,0,0
417,0,0
520,0,0
623,0,0
727,0,0
830,0,0
933,0,0
1037,0,752752
1140,1132992,168202848
1243,2267552,336935104
1346,3073392,453983904
1449,3675496,453989744
1552,3675496,453989744
1655,5765700,658906672
1758,20822872,856430232
1861,98637444,958962920
1964,177052464,1091746584
2067,223328564,1278662064
2170,317552524,1346405768
2273,362187772,1544342584
2376,443463784,1641183184
2479,512849460,1779561712
2582,603108588,1862477272
2684,698298272,1928425600
2787,782381104,2029738400
2890,788447420,2100685912
2993,789087080,2195032208
3096,789725872,2289337144
3199,790347052,2381007448
3302,790978928,2474406600
3405,791608480,2567371472
3507,792040464,2630449608
3610,793357820,2815767984
3713,810502916,2977735496
3816,820905680,3006588864
3919,865977396,3020682000
4022,897920068,3160291352
4125,939936504,3243628584
4228,995158656,3244429048
4331,1046449160,3304997408
4434,1084352516,3423163456
4537,1094635732,3520411592
4641,1095539600,3652669584
4743,1224514172,3773367168
4847,1329770580,3926484112
4950,1407534268,3974257520
5054,1460101260,4066907304
5157,1513832624,4132098376
5260,1568719220,4141063840
5363,1620670648,4158826024
5466,1654251256,4178482432
5569,1697630500,4239062744
5672,1702781232,4275501488
5775,1704024180,4458225832
5878,1719388620,4471956576
5981,1761583196,4472628952
6084,1917829184,4474147592
6187,2078046584,4475699152
6290,2223842356,4477112432
6394,2310369740,4602451408
6497,2354147040,4807146792
6600,2498670380,4812518392
6703,2618803704,4901338592
6806,2743953276,4975780848
6909,2871427112,5045273392
7013,2997105716,5121198720
7116,3123288028,5193025232
7219,3247895272,5265962256
7322,3372506004,5338187192
7425,3497532420,5410839176
7528,3633912072,5481656888
7631,3804346452,5545529248
7734,3964774580,5608621752
7837,4122613556,5672581552
7940,4276604296,5735322832
8044,4420257924,5794301024
8147,4564137504,5852949904
8250,4707417128,5908330088
8353,4830731732,5971975104
8456,4936799156,6020409552
8559,5043369496,6061271952
8663,5150159408,6098687624
8766,5256021420,6140329944
8869,5361086352,6186243160
8972,5474049264,6248449600
9075,5617652228,6324260784
9179,5762525364,6402174472
9282,5905747972,6484996008
9385,6051776308,6540805520
9488,6202303116,6608998136
9591,6310046888,6643404344
9694,6419913248,6676981688
9797,6566055288,6738759624
9900,6688375252,6850249840
10004,6787387256,6948711704
10107,6930762264,7050753672
10210,7076459708,7130129408
10313,7238399416,7173454264
10416,7353493592,7302290824
10519,7496722964,7382531392
10623,7657348372,7435539368
10726,7808111112,7511757568
10829,7944051084,7611303648
10932,8058789616,7670644024
11035,8151927644,7704463328
11139,8295274264,7748825928
11242,8436082496,7831934928
11345,8509174620,8007467144
11448,8628939372,8057107216
11551,8780334480,8117178336
11655,8926909084,8205062272
11758,9085255768,8259031680
11861,9194126736,8387446328
11964,9345611892,8470075464
12067,9510838704,8511482328
12171,9660711600,8598948800
12274,9759832528,8693259248
12377,9873499468,8746120104
12480,9937596692,8772767952
12583,10050652844,8822871760
12686,10195465820,8895084496
12789,10295027388,9045134744
12892,10372459084,9157605168
12996,10530817220,9192089424
13099,10678438956,9291304872
13202,10838696432,9351276712
13305,10977538392,9439277008
13408,11098783148,9561534680
13512,11256374072,9606730160
13615,11416626224,9668581040
13718,11516558456,9782515640
13821,11634588656,9846003064
13924,11703439964,9871497128
14027,11795358488,9908250392
14130,11943765732,9978534384
14233,12043736628,10126140400
14336,12125741084,10252199240
14439,12274078620,10275722112
14543,12424383976,10364391720
14646,12571946328,10442290744
14749,12737874464,10489310920
14853,12851396628,10630617864
14956,13008157808,10698185376
15059,13172582536,10756432168
15162,13284826488,10876298712
15265,13402744456,10935549800
15368,13472851220,10967798600
15471,13549439580,10999279960
15574,13698649376,11066287552
15678,13821541632,11191283120
15781,13894510932,11343115720
15884,14028970664,11372741616
15987,14182803044,11450296808
16090,14329278860,11538666216
16194,14496840000,11581874520
16297,14600699904,11705295216
16400,14749670200,11785192664
16503,14916112468,11841703088
16606,15062119124,11930960216
16710,15155660936,12021493984
16813,15237127932,12067388912
16916,15305842380,12091963584
17019,15445287320,12150992832
17122,15590258948,12241095864
17226,15660710120,12417970448
17329,15776752988,12470419936
17432,15935188436,12531829688
17535,16080170868,12628399048
17638,16246397372,12675029448
17741,16357271564,12789472720
17844,16500107852,12880194456
17947,16667127740,12935795968
18051,16820217964,13011200472
18154,16922486348,13116706008
18257,17009217976,13167930992
18360,17079111888,13192428192
18463,17215571536,13248148288
18566,17361085172,13337082160
18669,17435159120,13514767640
18772,17549832996,13570954912
18875,17710226180,13631477080
18979,17855358320,13728362928
19082,18021470700,13775725568
19186,18142289416,13895481696
19289,18292771980,13982877960
19392,18459777148,14041932408
19495,18607831196,14122486304
19598,18701101704,14219538352
19701,18785926392,14269391784
19804,18854213816,14293209448
19907,18985111916,14345343680
20011,19127140040,14431969432
20114,19205337388,14603878632
20217,19307529332,14667340080
20320,19464979176,14717480760
20423,19611630640,14816455312
20526,19774793560,14871127816
20630,19895734988,14980733752
20733,20038715060,15080367024
20836,20203332968,15133435184
20939,20357923732,15200473672
21042,20452604332,15306762480
21145,20548969048,15367748536
21249,20614800380,15387083232
21352,20726487660,15427773792
21455,20868707324,15509733296
21558,20952956432,15684301656
21661,21037135404,15762447592
21764,21195084072,15790223312
21867,21338910884,15893396696
21970,21497083024,15958934336
22074,21640391396,16038746952
22177,21758365204,16162808464
22280,21924093512,16217221048
22383,22084697244,16276536288
22487,22197751412,16386326056
22590,22311003064,16453869448
22693,22374699916,16480961984
22796,22467310452,16518686592
22899,22615540144,16590186208
23002,22717201456,16736188336
23105,22794912932,16862424984
23208,22945830284,16885789328
23311,23095873252,16976892880
23415,23245677980,17054013136
23518,23411204932,17105789232
23621,23514757480,17234153352
23725,23661190124,17300734936
23828,23826417188,17359026520
23931,23949790124,17474448992
24034,24063227000,17540548496
24137,24138386940,17576083368
24240,24219326472,17609277928
24343,24371970148,17680114648
24446,24487528328,17817619928
24549,24565651736,17958821280
24652,24714423384,17985408408
24755,24860729868,18076505656
24858,25022833272,18155133824
24962,25192554432,18210096936
25065,25306123316,18345233400
25168,25466897428,18415913392
25271,25635088020,18476541568
25374,25658507968,18490747856
25477,25750051868,18560728040
25580,25763509832,18564716520
25683,25843372136,18625098136
25786,25890011736,18777344424
25889,25991068112,18870238328
25992,26121106532,18930110464
