TIME,RECV,XMIT
4,0,0
107,0,0
210,214452,31677624
313,601580,88861960
416,1345976,133721160
519,1742624,192233152
622,2067424,241269568
725,3247056,357011136
828,27818784,417136736
931,61747864,442218536
1034,93827780,464473472
1136,121704348,493507672
1239,149800868,522788016
1342,178456196,549873968
1445,207299704,579922656
1548,237097904,608801864
1651,267471408,638742392
1754,300852960,669794312
1857,344140260,702122712
1960,392214732,726939400
2063,433660112,746990496
2165,470377776,776320712
2268,507720204,806406584
2371,545493688,834899760
2474,582694920,864512528
2577,618736424,891124248
2680,654682992,922192816
2782,691809880,952222920
2885,734890244,983787496
2988,781234044,1013257168
3091,820515772,1041127560
3194,856681512,1068700472
3297,892936728,1100462672
3400,929678964,1130116576
3503,966304972,1160240224
3606,1002909136,1188909120
3709,1039586936,1218397104
3812,1078663508,1249496512
3914,1128759408,1280397456
4017,1176717308,1305481624
4120,1214755908,1331640320
4223,1251166356,1360190968
4326,1287708828,1388871472
4429,1322667428,1420194824
4532,1358563572,1450229952
4635,1395166824,1480122224
4738,1431870460,1509907680
4840,1472027740,1538883672
4943,1516756992,1570583432
5046,1556857132,1597668592
5149,1594141000,1627952432
5252,1631081712,1657947128
5355,1667451628,1686885760
5458,1703890544,1716602640
5560,1740321556,1745823480
5663,1776666644,1773976992
5766,1812484996,1805329344
5869,1862942908,1838827600
5972,1915117552,1863981840
6075,1954755380,1887149384
6177,1989634176,1917145080
6280,2025519136,1948531920
6383,2061519816,1977628296
6486,2097461612,2007407072
6589,2134212560,2035505680
6692,2170568456,2065503768
6795,2208183168,2094455040
6898,2252098256,2125584944
7001,2294405776,2156697928
7104,2331502948,2183328240
7207,2368793044,2213533096
7310,2404898888,2243205656
7413,2441266964,2271408520
7516,2476760088,2302390608
7619,2513551708,2332185176
7722,2550404184,2363051568
7825,2596552984,2396788952
7928,2650975912,2423786072
8031,2692467056,2445548312
8134,2727645916,2476406576
8237,2764205444,2505860192
8339,2800623972,2534290936
8442,2836775972,2564228640
8545,2873279164,2593227096
8648,2907205056,2620028752
8751,2943547724,2651576760
8854,2986224728,2684315616
8957,3030081056,2711755688
9060,3068711792,2741018328
9163,3105993204,2768059504
9266,3141996808,2799001096
9369,3177685268,2828755632
9471,3214160164,2859102424
9574,3250299184,2888038336
9677,3287357436,2917753144
9780,3327868704,2949137312
9883,3382216672,2980161296
9986,3428145488,3004108464
10089,3465009236,3031290360
10192,3501693400,3061200336
10295,3537489428,3090195488
10398,3573615376,3119445576
10500,3608751728,3150213608
10603,3644005188,3178777592
10706,3680979600,3208979888
10809,3721104748,3239600968
10912,3765676384,3270939936
11015,3804658268,3295880280
11118,3841296716,3327191400
11221,3877858728,3356992200
11324,3914292680,3386415264
11426,3950526868,3414675072
11529,3987229348,3444849472
11632,4022822408,3471348816
11735,4058455252,3501451616
11838,4111182308,3535873040
11941,4161478472,3561906472
12044,4199372080,3588402720
12147,4235605876,3616488856
12250,4270452052,3646471184
12353,4306634936,3677347880
12456,4342430416,3707137504
12559,4379123864,3736460008
12662,4414313800,3763704448
12764,4452305396,3794996440
12867,4495763652,3825468536
12970,4537930952,3854462768
13073,4574578212,3883404160
13176,4611916680,3911293816
13279,4648041904,3942355912
13382,4684200544,3970949736
13485,4719731824,3999168160
13588,4756058004,4030076144
13691,4792183468,4059157656
13794,4839452740,4094965168
13897,4892911360,4121542024
14000,4931306708,4144458440
14103,4967261336,4174882032
14205,5003047792,4204468712
14308,5039549744,4234132384
14411,5075774500,4262921320
14514,5112466148,4293070904
14617,5148662072,4322008096
14720,5185291280,4350949608
14823,5228354680,4383196104
14926,5270671940,4413801200
15029,5308044576,4440632040
15132,5344810404,4469984096
15235,5381148792,4498459456
15338,5416240140,4527576584
15441,5452704588,4558940392
15544,5489181160,4588355184
15646,5525608732,4618324280
15749,5568781496,4652177984
15852,5622484548,4681277544
15955,5663621012,4703916792
16058,5699218112,4734605744
16161,5735866652,4763911424
16264,5772144096,4792476816
16367,5808485904,4821994248
16470,5844772416,4851469800
16573,5880014800,4879655792
16676,5915263460,4909640720
16779,5994601632,4944204640
