RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,5.85,0.17,0:06.02,0,105103,0,0
90,5.91,0.34,0:06.26,15131,127138,0,16368
80,5.94,0.73,0:06.68,50194,126099,0,52110
70,5.99,0.81,0:06.81,65373,119138,0,67277
60,5.95,0.92,0:06.88,72918,139291,0,74912
50,5.93,1.03,0:06.97,73849,158840,0,76372
40,6.39,2.11,0:08.58,134356,621526,0,231682
30,6.15,4.53,0:10.83,297059,1008973,0,683048
20,6.50,4.37,0:11.02,307615,1035180,0,716076
10,7.43,9.38,0:16.85,1005933,1660361,0,1476770
5,7.63,9.05,0:16.72,961724,1705010,0,1546729
