TIME,RECV,XMIT
4,0,0
107,0,0
211,0,0
314,0,0
418,0,0
521,0,0
624,0,0
728,0,0
831,0,0
934,0,0
1038,0,0
1141,0,0
1244,0,0
1348,712012,106005680
1451,1895656,282224096
1554,3018680,447300128
1657,3507336,518083632
1760,3598164,529672824
1863,3709520,546386400
1966,3839776,565627072
2070,3977116,585914152
2172,4494668,663406248
2275,5656388,834752456
2378,6490508,956913352
2481,6621660,976286376
2584,6688636,986208640
2687,6833788,1007885416
2790,6984148,1030095736
2893,7231388,1067038488
2996,8468372,1251264200
3099,9374396,1383318408
3202,9616232,1418892144
3305,9736912,1436718304
3408,9824048,1449837696
3511,89370408,1497152192
3614,165422540,1702930824
3717,275096580,1848980176
3820,446507920,1896794736
3923,568032992,2032463328
4026,674738708,2175198552
4129,862393080,2177018152
4232,1050278396,2178840552
4335,1234332516,2180624552
4438,1416691672,2182395312
4541,1600235856,2184174552
4644,1784140072,2185958472
4747,1967830756,2187738552
4850,2151423512,2189521192
4953,2176658268,2189751712
