TIME,RECV,XMIT
4,0,0
108,0,0
211,0,0
315,0,0
418,0,0
521,919940,137927328
624,12257292,225611208
727,12327400,225611888
830,22921956,225714648
933,22983816,225715248
1036,33566000,225817888
1139,33566000,225817888
1242,44184368,230656288
1345,44242104,230656848
1448,54898112,231918208
1551,54972344,232135968
1654,65549496,234933072
1757,76233476,240326296
1859,79667288,241968400
1962,92981368,245410896
2065,99234724,249938336
2168,111148808,262543904
2271,114936960,264420096
2374,119626492,264477856
2477,134248676,266291448
2580,142410072,266382368
2683,152955720,267166896
2786,163791260,271800616
2889,172666548,276827000
2992,186295568,283796872
3095,196520656,283889152
