RATIO,CPU,PAGE_FAULT_HIT,PAGE_FAULT_TIME,PAGE_FAULT_S2,SWAPIN_HIT,SWAPIN_TIME,SWAPIN_S2,EVICT_HIT,EVICT_TIME,EVICT_S2,SYNC_TIME
100,0,99305,132516.6,36265.48,,,,,,,6213.625
100,1,970,1547.121,0.783,,,,,,,142.326
100,2,873,2760.797,747.668,,,,,,,1511.007
100,3,324,592.007,2.765,,,,,,,
100,4,134,182.761,1.140,,,,,,,
90,0,117730,174741.3,526136.8,66,507.725,21.605,2,53410.74,328124617,35267.56
90,1,18236,50995.89,14700.06,14,107.672,49.219,2,45697.55,548225384,30422.49
90,2,16725,50115.57,45337.67,,,,2,48122.92,629418464,30881.45
90,3,205,378.150,2.753,,,,,,,
90,4,86,129.451,2.532,,,,,,,
80,0,119742,188987.9,162856.2,48,395.051,50.051,4,77860.20,63316897,39128.98
80,1,24956,64964.60,6715797,,,,1,30129.68,0.000,36542.90
80,2,18881,55279.52,6581.586,16,217.853,128.893,1,15190.69,0.000,32872.47
80,3,308,374.124,2.651,,,,,,,
80,4,140,240.276,1.089,,,,,,,
70,0,119751,188846.5,67339.14,80,627.264,52.914,5,67952.12,23629792,41535.71
70,1,25253,67766.29,24189.61,42,340.283,54.980,1,7466.454,0.000,39287.74
70,2,22150,62715.94,40961.76,54,376.699,15.097,2,18690.64,4524438,37528.26
70,3,332,631.613,4.991,3,42.513,202.879,,,,
70,4,93,143.433,1.067,,,,,,,
60,0,127815,201826.9,96716.25,155,1941.904,105.538,3,52835.21,112062040,44144.67
60,1,25648,68404.94,75362.90,24,213.552,66.679,2,52074.03,15290593,40476.15
60,2,49872,91327.80,279984.2,543,9721.961,131.401,2,52322.10,18705168,42102.07
60,3,304,561.908,0.992,,,,,,,
60,4,132,225.171,5.205,,,,,,,
50,0,137678,223979.6,207497.0,630,6833.331,79.409,1,25191.86,0.000,46967.34
50,1,48006,100173.0,46516.41,363,5683.793,123.710,1,14565.00,0.000,48260.02
50,2,57948,103919.9,37107.80,241,4063.693,121.741,1,14236.25,0.000,48990.47
50,3,199,367.008,1.882,,,,,,,
50,4,17,34.630,7.424,,,,,,,
40,0,413488,633742.4,1939528,1672,11755.39,24.374,3,36699.37,11453019,238909.6
40,1,292980,480051.0,1426987,1094,7569.247,20.796,6,71095.68,2808870,232339.1
40,2,296084,483475.5,3493025,1050,7139.764,20.250,10,198537.1,109615292,236117.2
40,3,391,693.871,1.497,,,,,,,
40,4,184,294.154,3.847,,,,,,,
30,0,442906,741753.9,5032986,108,805.984,23.445,4,45337.00,59236844,319038.1
30,1,325371,649009.4,1341709,1,27.181,0.000,1,19114.69,0.000,340609.7
30,2,315320,628460.8,2063697,7,69.251,57.778,2,35473.52,1431459,330222.9
30,3,,,,,,,,,,
30,4,75,109.598,0.911,,,,,,,
20,0,450758,750540.2,20807548,103,792.151,27.904,3,33021.52,4008748,315593.7
20,1,325626,604858.1,2184785,1,13.819,0.000,1,15718.78,0.000,315055.1
20,2,326235,605209.3,1165680,73,557.545,8.265,1,14985.86,0.000,314618.3
20,3,164,432.073,9.448,33,202.834,7.803,,,,
20,4,315,556.694,1.676,,,,,,,
10,0,455055,885261.1,5962712,929,5505.828,2.779,6,54088.50,7726026,404191.3
10,1,327357,649451.9,1723264,667,3846.998,3.599,1,13256.87,0.000,341466.1
10,2,328785,708703.9,1531673,988,5708.385,2.933,2,24342.98,2113397,376662.1
10,3,214,315.579,0.810,,,,,,,
10,4,19,54.422,2.237,,,,,,,
5,0,494164,1322314,5407009,9335,45437.72,1923.924,7,42762.43,489488.8,601734.4
5,1,366084,1151275,9082148,8214,36522.41,590.059,1,6951.081,0.000,572920.1
5,2,370085,1159170,35167743,9793,51231.89,1884.172,3,20526.36,266284.8,579807.8
5,3,166,272.125,0.699,,,,,,,
5,4,45,73.630,6.703,,,,,,,
