RATIO,CPU,PAGE_FAULT_HIT,PAGE_FAULT_TIME,PAGE_FAULT_S2,SWAPIN_HIT,SWAPIN_TIME,SWAPIN_S2,EVICT_HIT,EVICT_TIME,EVICT_S2,SYNC_TIME
100,0,678895,750393.2,289056.5,120,1164.035,66.948,,,,
100,1,759,1540.111,6.928,8,72.975,88.618,,,,
100,2,957,1819.794,3.944,,,,,,,
100,3,992,1745.688,1.708,,,,,,,
100,4,750,1237.638,1.361,,,,,,,
90,0,689323,776325.4,614273.0,1758,13547.38,18.256,,,,
90,1,509,968.605,6.117,8,79.543,119.330,,,,
90,2,873,1488.691,1.816,,,,,,,
90,3,824,1370.445,1.591,,,,,,,
90,4,761,1330.180,1.703,,,,,,,
80,0,690622,777134.3,140335.8,1831,14124.34,20.817,1,18253.69,0.000,
80,1,1044,1834.514,4.065,10,87.397,81.883,,,,
80,2,564,1081.447,3.024,11,87.107,11.235,,,,
80,3,1006,1766.615,2.146,,,,,,,
80,4,701,1233.743,1.952,,,,,,,
70,0,715475,863337.5,246298.8,9798,78517.31,2696.802,11,298781.3,121864138,
70,1,789,1450.960,1.854,8,53.200,2.438,,,,
70,2,761,1379.356,2.653,,,,,,,
70,3,768,1260.789,2.434,,,,,,,
70,4,556,1063.354,2.065,,,,,,,
60,0,771048,1182202,4535255,46313,331069.1,30913.93,15,445481.8,886441877,
60,1,428,761.723,1.980,,,,,,,
60,2,685,1128.921,1.398,,,,,,,
60,3,724,1160.406,1.684,,,,,,,
60,4,438,775.197,7.330,,,,,,,
50,0,909670,1617755,54079691,83077,646211.4,58288.51,20,663249.9,559604648,
50,1,533,1026.991,2.986,1,16.781,0.000,,,,
50,2,572,1069.856,2.395,,,,,,,
50,3,422,651.370,1.730,,,,,,,
50,4,639,996.956,1.328,,,,,,,
40,0,1035359,2044282,3809821,119702,997181.5,1381449,32,950938.8,1033373112,
40,1,674,1266.056,1.570,,,,,,,
40,2,551,987.887,4.972,,,,,,,
40,3,715,1335.252,4.440,,,,,,,
40,4,734,1194.683,1.299,,,,,,,
30,0,1167434,2594522,35593257,195707,1437088,374285.8,42,731397.2,199964552,
30,1,581,1115.798,4.800,,,,,,,
30,2,500,826.368,2.261,,,,,,,
30,3,432,770.133,2.122,,,,,,,
30,4,398,670.447,2.029,,,,,,,
20,0,1260606,2924912,1567456,237106,1695941,628215.0,53,802721.6,85631169,
20,1,601,1013.026,2.131,,,,,,,
20,2,562,1063.132,3.037,,,,,,,
20,3,401,656.032,1.768,,,,,,,
20,4,277,513.752,2.809,1,17.489,0.000,,,,
10,0,1377645,3521149,6529027,311077,2155242,722009.4,57,748687.2,90940185,
10,1,595,1152.180,2.539,,,,,,,
10,2,573,1032.037,6.356,,,,,,,
10,3,213,294.865,2.026,,,,,,,
10,4,198,336.077,2.512,,,,,,,
5,0,1443702,3783473,3836514,331213,2379404,759284.7,74,716622.0,34185192,
5,1,306,546.342,5.326,1,33.173,0.000,,,,
5,2,167,319.109,4.900,,,,,,,
5,3,247,381.786,3.229,,,,,,,
5,4,420,664.140,1.751,,,,,,,
