RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,6.76,1.09,0:07.85,120,678849,0,585
90,6.90,1.10,0:08.00,1758,687639,0,12481
80,6.89,1.10,0:08.00,1831,688793,0,12993
70,6.88,1.60,0:08.48,9798,705751,0,26697
60,6.93,2.08,0:09.02,46313,724736,0,61502
50,7.12,2.78,0:09.93,83077,826645,0,128411
40,7.08,3.53,0:10.63,119702,915685,0,286323
30,7.27,3.83,0:11.12,195707,971801,0,453736
20,7.59,4.13,0:11.75,237106,1023574,0,567160
10,7.65,4.82,0:12.52,311077,1066642,0,754969
5,8.53,4.99,0:13.56,331213,1112563,0,834503
