TIME,RECV,XMIT
4,0,0
107,0,0
211,0,0
314,0,0
417,0,0
520,0,0
624,0,0
727,0,0
830,0,0
933,0,0
1037,0,0
1141,0,0
1244,0,0
1347,0,0
1451,0,0
1554,0,0
1657,0,0
1761,0,0
1864,285684,43353552
1967,1093820,162937720
2070,2252096,333750384
2173,2724960,402515520
2276,2797312,413467648
2379,2909732,429933064
2482,3043712,449599744
2585,4296544,634660928
2688,4925956,728163480
2791,5032384,743355008
2894,5088300,751825536
2997,5257112,776815248
3100,5702060,843346944
3203,6839336,1011247864
3306,7271964,1074172968
3409,91568256,1086221376
3513,211262088,1142075168
3616,242836740,1324665856
3719,340068628,1399674520
3822,450039944,1428818520
3925,533243172,1468088960
4028,571597048,1618286496
4131,682555148,1679222200
4234,760793836,1772226952
4337,823272456,1916775344
4440,934707980,1963113392
4543,1058608572,2014578368
4646,1105258660,2166568024
4749,1227489544,2180662928
4852,1345167884,2181803288
4955,1476273968,2183076328
5058,1607017140,2184345208
5161,1703907244,2185278968
5264,1809311712,2186301448
5367,1937638220,2187550528
5471,2029743636,2188443688
5574,2158164996,2189689808
5677,2177028172,2189862728
