TIME,RECV,XMIT
4,0,0
107,0,0
210,0,0
313,0,0
417,0,0
520,0,0
623,0,0
726,0,0
829,0,0
933,0,0
1036,0,0
1139,0,0
1243,0,0
1345,0,0
1449,0,0
1552,0,0
1655,0,0
1758,0,0
1862,0,0
1965,0,0
2069,0,0
2172,0,0
2275,0,0
2378,0,0
2482,741404,105861160
2585,37894520,106221520
2688,37902768,106221600
2791,37911016,106221680
2894,37915140,106221760
2996,37923388,106221800
3099,37923388,106221800
3202,37935760,106221920
3305,37939884,106221960
3408,37944008,106222000
3512,37952256,106222080
3614,37956380,106222120
3717,38100972,119052552
3820,38150460,119053032
3924,38179328,119053312
4027,38869160,204578760
4132,105471324,302275480
4235,157494656,441255672
4338,250547200,511377136
4441,343551572,569859992
4544,348879780,569904712
4647,349980888,569915312
4750,351049004,569925712
4853,352154236,569936032
4956,353209980,569946272
5059,354278096,569956632
5162,358514412,573253864
5265,373994720,614941968
5368,387459420,712193576
5471,402958784,712546520
5574,419350440,724094144
5677,438731160,728849488
5780,458558172,814661896
5883,479307672,861511600
5986,502632264,867722752
6089,526029908,876419120
6192,548988268,895391984
6295,571493888,926501608
6399,593812384,963025592
6502,616845280,980821416
6605,644108900,996365656
6708,675254348,1014678720
6811,718100392,1039257368
6914,780345780,1074019936
7017,803354884,1109096320
7120,815063260,1128184688
7223,827806268,1148490728
7326,841618344,1168774080
7429,857705280,1175461104
7532,879835828,1178930296
7635,901766816,1275294480
7738,926390216,1306497832
7841,952034588,1322408744
7944,977911668,1342511264
8047,1003473132,1371593016
8150,1029061116,1402354544
8253,1062303072,1426710240
8356,1104745548,1449899072
8459,1145272100,1469085032
8562,1212810848,1469743192
8665,1222889076,1591315504
8769,1272569612,1657233992
8872,1274452572,1708000896
8975,1366839776,1710326552
9078,1408142912,1871772632
9181,1501633884,1914415240
9284,1529699788,2009554632
9387,1613478296,2107042104
9490,1694577608,2114191176
9593,1801804016,2171798080
