TIME,RECV,XMIT
3,0,0
106,0,0
209,0,0
312,0,0
415,0,0
518,0,0
622,0,0
725,0,0
827,0,0
930,0,0
1033,0,0
1137,0,0
1240,0,0
1343,0,0
1446,0,0
1549,0,0
1652,0,0
1755,0,0
1859,0,0
1962,0,0
2065,0,0
2168,0,0
2271,0,0
2374,0,0
2477,0,0
2580,0,0
2683,0,0
2786,0,0
2889,0,0
2992,0,0
3095,0,0
3198,0,0
3302,0,0
3405,0,0
3509,0,0
3612,0,0
3715,0,0
3818,0,0
3921,0,0
4024,0,0
4127,0,0
4230,0,0
4333,0,0
4437,0,0
4539,0,0
4642,0,0
4745,0,0
4849,0,0
4952,0,0
5056,0,0
5159,0,0
5262,0,0
5365,0,0
5469,0,0
5572,0,0
5675,0,0
5778,0,0
5881,0,0
5984,0,0
6087,0,0
6190,0,0
6293,0,0
6396,299404,44346192
6500,651448,96650048
6603,1031548,148743248
6705,1382780,200980928
6808,1735468,252933224
6911,2085244,303938376
7014,2455940,356697352
7117,2825708,410696968
7220,3098092,451560648
7323,3122760,454575792
7426,52334452,455053112
7528,52334452,455053112
7631,52334452,455053112
7734,52342700,455053192
7837,52342700,455053192
7940,52878136,492114512
