RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,6.82,1.07,0:07.89,141,679587,0,534
90,6.88,1.08,0:07.97,1786,687611,0,12479
80,6.90,1.12,0:08.03,1813,688353,0,12986
70,6.91,1.47,0:08.39,8432,705687,0,26037
60,7.02,1.98,0:09.01,43831,731714,0,61863
50,7.16,2.65,0:09.84,84190,824064,0,129373
40,7.35,3.33,0:10.70,123039,914712,0,285948
30,7.41,3.74,0:11.17,198874,966315,0,449119
20,7.42,4.28,0:11.73,240226,1020602,0,566910
10,7.79,4.67,0:12.51,314124,1060052,0,750856
5,8.90,4.76,0:13.72,334441,1105258,0,835633
