TIME,RECV,XMIT
5,0,0
107,0,0
210,0,0
314,0,0
417,0,0
520,0,0
623,0,0
727,0,0
830,0,0
933,0,0
1036,0,0
1139,0,0
1242,0,0
1345,0,0
1448,0,0
1551,0,0
1655,0,0
1757,0,0
1861,0,0
1964,0,0
2067,0,0
2171,0,0
2273,0,0
2376,0,0
2479,636760,91993112
2582,37866388,101456888
2684,37920000,101457408
2787,37944744,101457648
2890,37977736,101457968
2993,37990108,101458088
3096,38031348,101458488
3199,38064340,101458808
3302,38084960,101459008
3406,38101456,101459168
3509,38134448,101459568
3613,38163316,101459768
3716,38295508,115369616
3819,38402860,117351560
3922,38472968,117352240
4026,39870900,221474648
4128,94526800,307646144
4231,145875080,432358480
4334,209666624,484987360
4437,284230776,567387280
4540,322234808,567755800
4643,323298800,567766120
4745,324358668,567776800
4848,325426784,567787120
4951,326494900,567797120
5054,327558892,567807440
5157,328528032,567816840
5261,339479780,589627408
5364,354188008,646255896
5467,368484952,711885576
5569,384092436,712375688
5672,401436316,732528360
5775,420296780,742682536
5878,440431404,835174848
5981,461953588,864205472
6084,484127892,870462728
6187,506329564,882125776
6290,528316712,901570176
6392,549819860,930071392
6495,571197060,963434664
6598,593033840,982414472
6701,619832492,997496976
6804,649841504,1014111768
6907,691019084,1035851528
7010,746584528,1067503320
7113,777866340,1103079680
7216,788517996,1119585416
7318,800838548,1140738072
7421,814132772,1160730960
7524,829018476,1171452152
7627,848299712,1174331208
7730,869034456,1238735472
7833,891403376,1293606352
7936,915454380,1308521512
8038,939793900,1329444504
8141,964274836,1352854312
8244,988746316,1378973280
8347,1014674348,1407190552
8450,1046790552,1430327136
8553,1090020864,1450870912
8656,1128175156,1466172976
8759,1197705796,1466842296
8862,1209826388,1585156320
8964,1251234976,1658118936
9067,1257671528,1706637136
9170,1338702300,1709238920
9273,1379750484,1868638376
9376,1463159728,1884199528
9479,1501851004,1979572544
9582,1557583424,2066468008
9684,1625058676,2103512712
9787,1694514984,2130998048
9890,1788264748,2179239176
