RATIO,CPU,PAGE_FAULT_HIT,PAGE_FAULT_TIME,PAGE_FAULT_S2,SWAPIN_HIT,SWAPIN_TIME,SWAPIN_S2,EVICT_HIT,EVICT_TIME,EVICT_S2,SYNC_TIME
100,0,101111,122637.8,5009.197,10,155.695,267.994,,,,6253.180
100,1,652,1056.529,2.165,9,63.474,16.274,,,,
100,2,816,1487.996,3.610,33,190.258,2.569,,,,
100,3,672,1098.951,1.908,,,,,,,
100,4,1172,1945.353,3.823,,,,,,,
90,0,155595,213594.3,96470.45,1278,9674.572,38.920,1,16508.01,0.000,46705.65
90,1,1204,1989.015,2.605,15,111.409,45.757,,,,
90,2,996,1741.365,3.930,36,236.906,19.082,,,,
90,3,1079,1630.296,1.919,,,,,,,
90,4,587,907.529,2.724,,,,,,,
80,0,167312,246164.0,144322.7,1400,10759.14,41.862,3,43593.09,25388459,54856.39
80,1,974,1616.071,2.189,14,88.994,2.178,,,,
80,2,1267,2086.848,2.460,32,192.702,3.931,,,,
80,3,560,885.454,5.085,2,41.636,412.534,,,,
80,4,658,951.655,0.941,,,,,,,
70,0,166642,247115.0,192175.2,626,5246.911,54.842,4,57231.56,7351673,63283.78
70,1,1037,1711.964,3.120,,,,,,,
70,2,1279,2251.964,6.104,35,233.533,19.603,,,,
70,3,721,1228.703,7.407,16,116.627,49.817,,,,
70,4,771,1140.310,1.206,,,,,,,
60,0,169955,253614.2,580631.4,383,3237.582,51.628,2,26025.33,5048103,69221.41
60,1,1172,1951.805,2.151,,,,,,,
60,2,682,1114.644,5.916,,,,,,,
60,3,475,671.692,2.336,,,,,,,
60,4,671,1036.930,1.169,,,,,,,
50,0,277058,364499.8,924252.7,6518,53787.09,538.541,1,26381.41,0.000,80070.66
50,1,1147,1840.926,1.754,16,101.402,7.845,,,,
50,2,1109,1907.352,5.882,33,233.370,28.036,,,,
50,3,847,1341.605,5.423,3,46.012,250.861,,,,
50,4,528,805.597,1.448,,,,,,,
40,0,1042945,1208111,841647.6,2209,17043.80,343.433,2,27665.16,39993221,460669.9
40,1,904,1466.994,1.558,,,,,,,
40,2,645,991.843,3.203,,,,,,,
40,3,303,436.467,2.512,,,,,,,
40,4,106,156.184,0.456,,,,,,,
30,0,1103254,1398042,31815230,46,451.526,63.847,2,24949.68,4678413,586289.6
30,1,510,885.360,3.523,13,98.610,51.402,,,,
30,2,386,800.607,9.066,34,240.219,26.879,,,,
30,3,354,449.351,4.022,2,35.798,297.192,,,,
30,4,120,126.023,0.622,,,,,,,
20,0,1104142,1412695,5183939,33,303.066,37.718,3,26022.74,7024779,589528.7
20,1,359,691.979,5.756,15,112.406,47.359,,,,
20,2,240,553.930,12.627,34,221.560,26.023,,,,
20,3,90,138.052,2.572,,,,,,,
20,4,,,,,,,,,,
10,0,1188856,1899056,953626.2,36393,413007.6,73694.07,4,36185.01,812342.8,590875.4
10,1,178,387.838,10.334,15,124.456,53.254,,,,
10,2,324,658.104,6.841,35,244.840,8.812,,,,
10,3,322,540.757,5.260,2,36.315,306.900,,,,
10,4,62,85.051,6.634,,,,,,,
5,0,1692451,2274831,5935514,16480,105920.7,4664.177,4,22262.27,104515.6,962688.4
5,1,185,268.285,1.189,,,,,,,
5,2,257,395.081,2.858,,,,,,,
5,3,182,280.088,0.872,,,,,,,
5,4,178,268.872,0.618,,,,,,,
