TIME,RECV,XMIT
4,0,0
107,0,0
210,0,0
313,0,0
416,808840,118182224
519,8325452,252136856
622,16246356,267883960
725,19775052,271363248
829,23087968,271593896
931,23203440,271595016
1035,24306452,271609376
1138,37674556,271735376
1241,41386156,271771376
1343,43860556,271795376
1446,47365956,271829376
1550,48619652,271841536
1653,59135852,271943536
1756,59135852,271943536
1859,59135852,271943536
1962,59135852,271943536
2065,59135852,271943536
2168,72126564,272086080
2272,75838164,272122080
2374,79343564,272156080
2477,83055164,272192080
2580,85941964,272226080
2684,99551248,272364488
2787,103262848,272400488
2890,105737248,272424488
2993,109242648,272458488
3097,112954248,272494488
3199,124501448,272606488
3303,124501448,272606488
3406,124501448,272606488
3510,124501448,272606488
3612,124501448,272606488
3716,136254848,272720488
3818,139966448,272756488
3921,143678048,272792488
4024,147389648,272828488
4127,150895048,272862488
4230,163704144,276634440
4333,167616364,306309016
4436,170194952,321739616
4539,174209520,327543960
4642,178853144,327588800
4745,182292560,327622160
4848,193980124,344228808
4951,194537304,344908336
5055,194537304,344908336
5158,194537304,344908336
5261,194537304,344908336
5365,207527904,345034336
5468,211033304,345068336
5571,214744904,345104336
5673,217219304,345128336
5776,221155864,352201432
5879,234721924,366709288
5982,235023620,366806816
6085,235023620,366806816
6189,235023620,366806816
6292,235023620,366806816
6395,246777020,366920816
6498,250488620,366956816
6601,254200220,366992816
6704,257293220,367026816
6807,260180020,367050816
6910,272153440,367989960
7014,275926900,368026560
7117,280669500,368072560
7220,284381100,368108560
7323,287771028,368141440
7426,328561184,474421456
