RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,7.09,0.24,0:07.34,9,133941,950,68
90,6.45,0.36,0:06.81,12,133945,22495,216
80,6.49,0.32,0:06.82,12,133946,50931,405
70,6.58,0.36,0:06.95,1342,187184,64656,41039
60,6.89,0.45,0:07.35,1529,206318,77566,51966
50,6.92,0.49,0:07.41,1653,220493,88493,64154
40,6.87,0.64,0:07.52,1745,274883,133654,93414
30,7.53,1.99,0:09.53,1690,1141409,546200,520924
20,7.45,2.01,0:09.47,35,1169621,568736,617921
10,7.94,1.99,0:09.94,1481,1185572,577374,619216
5,7.85,3.17,0:11.03,146110,1222660,612325,765530
