TIME,RECV,XMIT
4,0,0
106,0,0
209,0,0
312,0,0
415,0,0
518,0,0
622,0,0
725,0,0
828,0,0
932,0,0
1035,864,864
1138,864,864
1241,864,864
1345,864,864
1448,864,864
1551,864,864
1654,864,864
1758,864,864
1861,30964,4906160
1964,353272,52234408
2067,651948,96175272
2170,860968,127050512
2273,1174288,173861760
2376,1421276,209816008
2479,1666724,246072184
2581,2009696,296734048
2684,2305740,341038880
2787,2600300,383974696
2890,2862800,423299784
2993,3128828,462045832
3096,3350812,495324088
3198,3646940,539136736
3301,3911540,577663576
3404,4131144,610102224
3507,4371636,646110240
3610,4674120,690828672
3713,4928024,728003040
3816,5133544,758311648
3919,5375352,794381704
4022,5639616,833433816
4124,5913988,873747408
4227,47600640,917171600
4330,91397116,954631848
4433,122115372,1005311232
4536,172983056,1048828600
4639,222298052,1086594616
4742,260710820,1127268928
4845,309832108,1173407864
4948,359079400,1222974784
5051,412196964,1273220896
5154,437818700,1322054376
5257,488336816,1370551944
5359,536068116,1419430272
5462,585420468,1465314112
5565,629712948,1513039888
5668,676581392,1558751776
5771,728118612,1606824904
5874,781977616,1651719568
5977,838891452,1714328208
6080,891731412,1760147608
6182,936632012,1807304440
6285,984893692,1850295664
6388,1030000436,1906188288
6491,1095072516,1960647408
6594,1258713216,1965335648
6697,1342869920,2004821576
6800,1393032272,2045532232
6902,1425204156,2094678232
7005,1468999216,2140220096
7108,1551994756,2183681632
7211,1721524964,2185334232
7314,1894123604,2187009512
7417,1962068820,2187654552
