TIME,RECV,XMIT
4,0,0
107,0,0
210,0,0
313,0,0
416,0,0
519,0,0
622,0,0
725,0,0
828,0,0
931,0,0
1034,0,0
1137,0,0
1240,16408,3023416
1343,674660,99656920
1446,1033480,153354608
1549,1583064,233849440
1652,2206596,327827632
1755,2728852,403090424
1858,3317408,484996032
1961,3886088,568663176
2064,4159088,608530080
2167,4416352,646266944
2269,4713600,690174720
2372,4960532,727291184
2475,5284408,775334960
2578,5826096,856024184
2681,6369296,936291536
2784,6909136,1015996392
2887,7212740,1059598104
2989,7499320,1101665360
3092,7782624,1144319928
3195,8019448,1179500744
3298,8413296,1236672672
3401,8917100,1312456600
3504,9359108,1376382616
3607,9825756,1446711160
3710,10153860,1494031136
3813,11278592,1544796312
3915,68333104,1578699816
4018,140834056,1623560496
4121,234284044,1715853656
4224,325409332,1790742240
4327,373352456,1849769872
4430,451105024,1965595824
4533,512928220,2056779904
4636,598102516,2146119224
4738,736006824,2175766136
4841,909086980,2177445696
4944,1082266140,2179128632
5047,1252801788,2180782272
5150,1419562636,2182399952
5253,1592376072,2184075672
5356,1736060356,2185462032
5459,1902785428,2187088232
5562,2076797608,2188774672
5665,2176672640,2189731072
