TIME,RECV,XMIT
5,0,0
108,0,0
211,0,0
314,0,0
417,0,0
520,417732,62660400
623,11451064,112611152
726,11451064,112611152
829,22008504,112713552
933,22008504,112713552
1036,32594392,117018128
1138,43172552,120276296
1242,43246304,131075392
1345,53853836,138577096
1448,53853836,138577096
1551,64480548,148911960
1654,64480548,148911960
1757,76862048,162617920
1860,79999424,163111552
1963,95380896,178956632
2066,101524988,184996488
2169,113356380,197848488
2271,113356380,197848488
2374,131440704,213674632
2477,157477988,239183744
2580,179215696,252557792
2683,179215696,252557792
2786,194843832,259140432
2889,204102212,259230232
2991,222521784,266375056
3094,232388684,269244232
