TIME,RECV,XMIT
4,0,0
107,0,0
210,0,0
313,0,0
416,558320,83199776
519,1346620,190227688
622,15311308,297244496
725,26421364,297351216
828,46191820,297542216
931,63104344,297706256
1033,63289924,297708656
1136,84609436,370172672
1239,114100160,370483208
1342,144326580,370989640
1444,163917556,374516792
1547,163917556,374516792
1650,181502704,388150872
1753,196757380,388989256
1856,226689112,461645472
1959,245927572,461846872
2062,249494832,461866272
2165,267439896,475699024
2268,280697532,493313952
2371,291254972,493413352
2473,308665728,503221032
2576,323090464,503813312
2679,347052648,514588016
2782,357285980,580908288
2885,377326168,645351168
2988,418932264,685053400
