TIME,RECV,XMIT
4,0,0
107,131544,20977792
210,561904,84382672
313,987208,142779056
416,1374672,200443168
519,1971112,287084296
622,34589336,407451032
725,102188124,459007120
828,162131808,511195264
931,226038456,557814496
1034,290062640,608061000
1137,357053324,660017496
1240,417033208,706394584
1343,476576148,759997160
1446,540560008,814773584
1549,605466360,860258960
1652,667559176,910409696
1755,733713740,956242408
1858,797840144,1006391944
1961,861422380,1057783456
2064,925585828,1099390576
2166,984206668,1155847184
2269,1046831068,1210366360
2372,1110693096,1254733768
2475,1174360884,1306899112
2578,1240099652,1361349248
2681,1304266712,1404483568
2784,1367826812,1454465424
2887,1431651420,1504647088
2990,1491430820,1550751616
3093,1549992476,1604810280
3196,1616580128,1652709040
3299,1680786680,1703813136
3401,1745060180,1754102128
3504,1807147376,1802587808
3607,1866070428,1854901384
3710,1930105556,1910527544
3813,1994799448,1955481792
3916,2059089268,2007763728
4019,2128509308,2055400368
4122,2200852744,2115509248
4225,2265714940,2164853032
4328,2308759992,2220908480
4431,2352706056,2267369456
4534,2395535976,2309821416
4637,2455580784,2329341824
4739,2516456120,2329932024
