TIME,RECV,XMIT
4,0,0
107,0,0
210,0,0
314,0,0
417,0,0
521,0,0
623,0,0
727,0,0
829,0,0
933,0,0
1036,287504,42551168
1138,543340,80685088
1242,813232,120481680
1344,1178296,174464752
1447,1429148,211175888
1550,1690864,249909528
1653,2004352,296613240
1756,2269540,335243480
1859,2633400,389640152
1962,2935772,433655464
2066,3203256,473166672
2168,3467128,512487624
2271,3795848,560758880
2374,4033820,595852840
2477,4277364,632303408
2580,4580184,677207960
2683,4841816,715552816
2786,5094124,752474888
2889,5330724,787928680
2992,5579280,824180720
3094,5868632,867385376
3197,6122116,904323992
3300,6354936,938714832
3403,6601812,975181944
3506,6891024,1018134304
3609,7141456,1054895072
3712,7382452,1090493624
3815,7610288,1124578400
3917,7861280,1161558376
4020,8153404,1204382520
4123,8400924,1241494848
4226,8633660,1275314920
4329,8860348,1309197032
4432,9103892,1344774904
4535,9360232,1383140440
4638,9629480,1422970120
4741,9899176,1462249712
4844,10115756,1494671816
4947,21064716,1537777168
5049,67307844,1580273680
5152,120553444,1632503264
5255,164653732,1677404320
5358,211749064,1729695968
5461,254468628,1784268216
5564,309992212,1830316280
5667,360807708,1872956416
5770,408093128,1915984104
5872,437963788,1960664840
5975,482971912,2004544952
6078,531661076,2042710256
6181,577946424,2093346256
6284,639139156,2152795312
6387,714744360,2175674864
6490,854997380,2177032904
6593,989662476,2178340104
6696,1131326000,2179713904
6799,1270812052,2181067904
6902,1411712776,2182454304
7005,1550398772,2183793944
7108,1690660136,2185159984
7211,1833103096,2186541304
7314,1969619868,2187865304
7416,2110848952,2189234424
7519,2177349872,2189869984
