TIME,RECV,XMIT
4,0,0
108,0,0
211,0,0
315,0,0
417,0,0
520,0,0
624,0,0
727,0,0
830,0,0
934,0,0
1037,0,0
1140,0,0
1243,0,0
1347,0,0
1450,0,0
1553,0,0
1657,0,0
1760,0,0
1863,0,0
1967,0,0
2070,0,0
2173,0,0
2276,0,0
2379,0,0
2483,0,0
2586,0,0
2689,0,0
2793,0,0
2895,620452,91988776
2998,1268204,188725680
3102,2594620,383262440
3205,3831184,565920608
3308,40187988,593321424
3411,215178928,629555296
3514,374118480,682084040
3617,429463412,914046600
3720,538671412,1053570112
3823,705477880,1116404544
3926,839660176,1233519360
4029,924834560,1419394544
4132,1053870508,1535042032
4235,1212074524,1618957896
4338,1327474640,1749691664
4441,1423039536,1921128264
4544,1564414524,2027978944
4647,1716618716,2125915008
4750,1872707088,2186954400
4853,2055606488,2188726720
4956,2123483404,2189372680
