RATIO,CPU,PAGE_FAULT_HIT,PAGE_FAULT_TIME,PAGE_FAULT_S2,SWAPIN_HIT,SWAPIN_TIME,SWAPIN_S2,EVICT_HIT,EVICT_TIME,EVICT_S2,SYNC_TIME
100,8,2329,2931.727,7.950,,,,,,,
100,9,2068,2588.932,1.849,,,,,,,
100,10,2296,2757.982,6.123,,,,,,,
100,11,1484,1775.228,1.076,,,,,,,
100,12,1434,2031.299,2.955,,,,,,,
100,13,1814,2333.742,2.222,,,,,,,
100,14,877,1562.716,2.764,,,,,,,
100,15,4629,4762.507,14.555,,,,,,,
100,16,50,112.561,30.078,2,40.077,428.278,,,,
100,17,773,1348.842,1.678,,,,,,,
100,18,604,1022.039,1.925,,,,,,,
100,19,879,1503.839,4.154,,,,,,,
90,8,2005,2738.652,3.323,4,54.900,134.018,,,,
90,9,2311,3073.855,10.938,17,105.833,6.002,,,,
90,10,2071,2907.112,3.243,,,,,,,
90,11,1882,2350.155,1.640,,,,,,,
90,12,1423,2197.331,59.766,,,,,,,
90,13,1643,2037.730,1.607,,,,,,,
90,14,1023,1723.926,3.107,,,,,,,
90,15,3977,4244.048,19.368,,,,,,,
90,16,67,118.401,0.881,,,,,,,
90,17,735,1265.257,2.703,,,,,,,
90,18,679,1215.376,1.765,,,,,,,
90,19,762,1265.327,1.563,,,,,,,
80,8,2480,3245.129,7.591,,,,,,,
80,9,1900,2499.179,2.269,,,,,,,
80,10,2537,3128.364,4.859,,,,,,,
80,11,2301,2958.833,9.248,,,,,,,
80,12,1332,1713.211,2.394,,,,,,,
80,13,1176,1534.313,1.424,,,,,,,
80,14,464,906.973,2.135,,,,,,,
80,15,5750,6065.621,43.489,,,,,,,
80,16,153,192.132,0.706,,,,,,,
80,17,701,1253.063,5.508,1,39.511,0.000,,,,
80,18,898,1479.905,1.659,,,,,,,
80,19,730,1233.942,4.377,,,,,,,
70,8,2169,2801.458,22.164,12,75.251,5.750,,,,
70,9,2131,2654.676,31.351,,,,,,,
70,10,2207,2691.060,9.171,,,,,,,
70,11,2358,2976.102,7.104,,,,,,,
70,12,1306,1736.569,2.499,,,,,,,
70,13,1624,2009.196,1.865,,,,,,,
70,14,389,893.755,5.905,,,,,,,
70,15,5771,6002.996,37.097,,,,,,,
70,16,79,98.924,0.804,,,,,,,
70,17,928,1538.483,1.635,,,,,,,
70,18,622,965.431,1.193,,,,,,,
70,19,644,1147.352,4.928,,,,,,,
60,8,2158,2704.737,18.128,,,,,,,
60,9,1989,2562.680,2.939,,,,,,,
60,10,2891,3809.303,4.754,,,,,,,
60,11,1701,2249.150,1.970,,,,,,,
60,12,2205,2856.012,18.858,,,,,,,
60,13,1498,1930.430,2.452,,,,,,,
60,14,1727,2338.835,1.662,,,,,,,
60,15,5892,6201.884,289.583,,,,,,,
60,16,,,,,,,,,,
60,17,672,1149.555,3.049,,,,,,,
60,18,509,835.572,2.290,,,,,,,
60,19,688,1109.168,1.387,,,,,,,
50,8,3016,3736.548,26.540,,,,,,,
50,9,2801,3397.906,4.725,,,,,,,
50,10,2789,3526.937,4.047,,,,,,,
50,11,1924,2401.710,1.646,2,17.598,13.416,,,,
50,12,3698,4355.555,46.966,,,,,,,
50,13,1799,2337.144,1.994,19,116.758,5.770,,,,
50,14,584,1116.376,2.604,,,,,,,
50,15,5591,5969.587,97.691,,,,,,,
50,16,,,,,,,,,,
50,17,593,1016.046,2.249,,,,,,,
50,18,494,873.230,2.878,,,,,,,
50,19,686,1076.859,1.315,,,,,,,
40,8,3121,3875.257,13.565,,,,,,,
40,9,3629,4600.618,57.736,,,,,,,
40,10,3195,3977.926,9.375,,,,,,,
40,11,3052,4043.611,23.633,,,,,,,
40,12,1869,2267.159,2.087,,,,,,,
40,13,1371,1790.966,1.886,,,,,,,
