TIME,RECV,XMIT
5,0,0
108,0,0
211,0,0
315,0,0
418,0,0
521,0,0
624,0,0
728,0,0
831,0,0
934,0,0
1037,0,0
1141,0,0
1244,0,0
1347,0,0
1450,0,0
1553,0,0
1657,0,0
1760,0,0
1863,0,0
1966,0,0
2070,0,0
2173,0,0
2276,0,0
2378,0,0
2481,0,0
2584,0,0
2687,0,0
2790,0,0
2893,0,0
2996,0,0
3100,0,0
3202,0,0
3306,0,0
3409,0,0
3512,0,0
3616,0,0
3719,0,0
3822,0,0
3925,366940,55070840
4028,837564,123720168
4131,1370960,196419040
4234,37074972,225164176
4337,40770076,225197096
4440,42060888,225209616
4543,43438304,225223136
4646,44675504,225234976
4749,45912704,225246976
4852,47067424,225258176
4955,47760256,225264896
5058,47760256,225264896
5161,48477640,248465664
5264,62804708,284197040
5367,77365436,320141272
5470,91725468,355665848
5572,106154060,391464360
5675,120681684,427379000
5778,140913240,468374840
5881,161903832,481821352
5984,183044668,519983480
6087,203392632,557998264
6190,223791284,598664224
6293,244506868,630581888
6396,268936652,665414048
6499,301238472,687908776
6601,335773344,710213008
6704,365008672,733018024
6807,403269772,758892320
6910,424086724,809286312
7013,431761792,820535984
7116,439882980,831723000
7219,448911616,842923392
7322,458638880,855007216
7425,469154176,868397424
7528,480733940,881818552
7630,493133932,895198088
7733,506396904,908829968
7836,520372592,922832616
7939,535352148,937052024
8042,550870592,971714944
8145,565911628,1004140184
8248,581998268,1037808312
8351,598256232,1071535744
8454,617024512,1089617432
8556,639559912,1106176848
8659,665620288,1135690248
8762,695391968,1158084168
8865,720394692,1176819480
8968,768286704,1177288520
9071,819007780,1177775960
