RATIO,CPU,PAGE_FAULT_HIT,PAGE_FAULT_TIME,PAGE_FAULT_S2,SWAPIN_HIT,SWAPIN_TIME,SWAPIN_S2,EVICT_HIT,EVICT_TIME,EVICT_S2,SYNC_TIME,LOCK_MINPF_HIT,LOCK_MINPF_TIME,LOCK_MINPF_S2
100,0,1048964,3224715,16061985,121529,2372852,882130.7,,,,,542202,175110.8,4592244
100,1,851,1102.322,2.285,3,31.158,26.284,,,,,7,0.239,0.000
100,2,495,901.581,4.371,,,,,,,,,,
100,3,5160,6216.088,263.576,1,9.422,0.000,,,,,10,7.765,5.239
100,4,2641,3367.667,5.511,,,,,,,,,,
90,0,1048832,3219795,3366498,144812,2366522,1509921,,,,,542712,176536.4,654609.0
90,1,802,974.366,1.904,,,,,,,,,,
90,2,228,513.897,0.972,,,,,,,,,,
90,3,4820,6194.659,115.967,,,,,,,,,,
90,4,2749,3361.751,4.176,,,,,,,,,,
80,0,1049018,3234935,3379720,134496,2386231,901505.7,,,,,543907,152609.7,1743316
80,1,597,787.958,3.857,,,,,,,,,,
80,2,524,902.864,1.833,,,,,,,,,,
80,3,5311,6309.692,92.997,,,,,,,,,,
80,4,2172,2795.222,26.455,,,,,,,,,,
70,0,1048981,3123799,2182545,132836,2289067,1640055,,,,,540105,138373.5,636678.0
70,1,899,1061.408,1.445,,,,,,,,,,
70,2,282,579.861,1.296,,,,,,,,,,
70,3,3337,3641.093,26.465,,,,,,,,,,
70,4,3219,3802.053,32.229,,,,,,,,,,
60,0,1048794,3599572,13652518,250004,2851705,3677204,,,,,534710,73162.02,227391.4
60,1,1007,1101.567,2.021,,,,,,,,,,
60,2,411,682.816,1.193,,,,,,,,,,
60,3,696,868.305,1.765,,,,,,,,,,
60,4,3342,4307.159,60.103,,,,,,,,,,
50,0,1048838,2958981,4178645,141291,2157611,546371.9,,,,,539847,99672.99,192374.3
50,1,1694,2031.249,2.354,2,26.839,59.568,,,,,7,0.228,0.000
50,2,522,809.635,2.597,,,,,,,,,,
50,3,3153,4277.208,10.553,1,11.219,0.000,,,,,10,15.721,22.945
50,4,1882,2245.704,1.837,,,,,,,,,,
40,0,1048854,2871119,3452378,143846,2066742,803925.2,,,,,542285,89291.15,1958848
40,1,2313,2903.522,9.639,,,,,,,,,,
40,2,419,733.076,3.564,,,,,,,,,,
40,3,3738,5238.009,44.102,,,,,,,,,,
40,4,1768,2393.512,3.390,,,,,,,,,,
30,0,1048926,3359207,5814114,280141,2607040,4011116,,,,,532696,53670.47,835740.5
30,1,1899,2436.932,2.615,,,,,,,,,,
30,2,714,1072.157,2.019,,,,,,,,,,
30,3,3848,5404.977,19.454,,,,,,,,,,
30,4,2389,3023.387,11.103,,,,,,,,,,
20,0,1048998,2654605,4947430,136230,1843961,377040.4,,,,,542912,84430.99,222679.2
20,1,980,1192.447,1.508,2,48.643,30.568,,,,,2,0.089,0.000
20,2,489,909.966,1.128,,,,,,,,,,
20,3,4272,5338.178,141.556,,,,,,,,,,
20,4,2876,3634.254,8.317,,,,,,,,,,
10,0,1048935,2722880,37002239,170360,1957249,1350273,,,,,536066,43766.63,24208.13
10,1,5042,5469.876,43.758,,,,,,,,,,
10,2,504,807.248,2.710,,,,,,,,,,
10,3,3704,5132.801,29.184,,,,,,,,,,
10,4,2594,3268.694,4.429,,,,,,,,,,
5,0,1048853,3749254,15164451,419924,3027019,1580235,,,,,529591,39325.83,526186.1
5,1,2036,2388.026,1.021,2,33.679,47.560,,,,,2,0.106,0.000
5,2,743,1192.523,1.800,5,44.270,10.270,,,,,15,9.146,4.905
5,3,6433,7664.686,21.265,,,,,,,,,,
5,4,1882,2248.054,0.784,,,,,,,,,,
