RATIO,CPU,PAGE_FAULT_HIT,PAGE_FAULT_TIME,PAGE_FAULT_S2,SWAPIN_HIT,SWAPIN_TIME,SWAPIN_S2,EVICT_HIT,EVICT_TIME,EVICT_S2,SYNC_TIME,LOCK_MINPF_HIT,LOCK_MINPF_TIME,LOCK_MINPF_S2
100,0,100515,64891.74,1593.889,,,,,,,,,,
100,1,805,1033.651,3.439,,,,,,,,,,
100,2,724,981.657,1.858,,,,,,,,,,
100,3,819,1013.332,0.606,,,,,,,,,,
100,4,1766,2209.292,2.137,,,,,,,,,,
90,0,142385,462149.8,621780.2,38240,368651.0,40161.16,1,17763.00,0.000,,41756,1580.065,21.570
90,1,1327,1684.450,1.643,2,40.429,161.047,,,,,7,0.227,0.000
90,2,229,448.057,1.656,,,,,,,,,,
90,3,1097,1365.925,2.298,,,,,,,,,,
90,4,1516,2051.238,1.742,,,,,,,,,,
80,0,152895,567411.6,247538.7,50194,468354.6,50550.62,2,43686.81,36420987,,52265,2435.243,892.098
80,1,1160,1432.448,1.673,1,11.899,0.000,,,,,7,0.300,0.000
80,2,458,746.364,3.403,,,,,,,,,,
80,3,3983,4355.814,35.365,,,,,,,,,,
80,4,1911,2522.214,1.747,,,,,,,,,,
70,0,197119,781389.9,402215.3,73942,659041.3,56587.83,3,59685.32,35469816,,77605,3251.842,810.516
70,1,1519,1867.062,1.990,3,27.249,2.346,,,,,8,0.278,0.000
70,2,525,818.507,4.162,,,,,,,,,,
70,3,1735,2152.541,2.405,3,56.705,116.135,,,,,7,0.272,0.000
70,4,1449,1818.238,2.337,,,,,,,,,,
60,0,178006,695017.2,504291.8,68195,568614.5,51362.20,4,69425.03,9233128,,71953,11533.82,6046.843
60,1,2064,2597.218,2.250,,,,,,,,,,
60,2,514,836.988,3.051,3,31.135,13.786,,,,,8,0.315,0.000
60,3,1694,2093.095,1.386,,,,,,,,,,
60,4,1780,2272.514,2.700,,,,,,,,,,
50,0,246390,953119.8,698789.2,90859,779822.8,844856.8,4,59117.60,5674750,,110505,18296.02,29575.69
50,1,2178,2799.566,25.883,,,,,,,,,,
50,2,279,566.334,3.428,,,,,,,,,,
50,3,2491,3077.153,6.405,,,,,,,,,,
50,4,1661,2061.902,1.474,,,,,,,,,,
40,0,1138854,3316924,8553606,163517,1776215,1317436,4,75092.99,2105448,,729712,870165.2,7067697
40,1,2802,3540.166,5.174,,,,,,,,,,
40,2,467,859.629,2.401,,,,,,,,,,
40,3,3285,4131.946,6.579,,,,,,,,,,
40,4,797,1071.789,2.319,,,,,,,,,,
30,0,1382846,4592304,3846711,260772,2631513,1082750,4,63101.57,6796557,,961846,1144459,7992227
30,1,3582,4451.665,6.465,,,,,,,,,,
30,2,1014,1621.534,3.860,5,41.564,5.034,,,,,8,0.322,0.000
30,3,4937,6313.029,17.444,,,,,,,,,,
30,4,2689,3498.812,6.904,9,89.187,35.623,,,,,26,0.929,0.000
20,0,1382846,4560757,889837.0,261035,2596793,1104722,4,66714.62,3642264,,963892,1148569,4735146
20,1,234,317.606,3.012,2,21.636,33.932,,,,,5,0.156,0.000
20,2,1153,1760.633,2.751,,,,,,,,,,
20,3,5977,8188.238,51.218,,,,,,,,,,
20,4,3452,4590.987,55.679,,,,,,,,,,
10,0,1444299,4635135,4137351,254963,2604092,2579415,7,73041.81,6001723,,1020249,1189163,2114829
10,1,124,133.130,0.238,,,,,,,,,,
10,2,1122,1816.897,4.147,,,,,,,,,,
10,3,6557,9178.382,2370.509,,,,,,,,,,
10,4,3746,4552.075,21.633,,,,,,,,,,
5,0,1893080,5856964,1966741,328559,3105687,5630521,30,70668.65,333685.4,,1523467,1633604,11731888
5,1,4020,5168.594,10.938,,,,,,,,,,
5,2,1299,1945.557,2.246,,,,,,,,,,
5,3,6100,8291.178,26.426,4,52.113,51.777,,,,,17,6.014,1.564
5,4,3809,4748.683,21.596,2,25.808,8.201,,,,,4,0.121,0.000
