TIME,RECV,XMIT
4,0,0
107,882324,61428504
210,2071404,142392272
314,3258272,224208268
417,4755556,326665064
520,28065364,433288244
624,95858728,473609184
727,164246532,514165028
830,233127728,556155312
933,303307308,599139352
1036,366024116,638862928
1140,435734836,680425472
1243,501594304,720940584
1346,571789948,762186624
1450,640111068,802837264
1553,709779356,843840760
1656,778086540,882553848
1759,847351012,920280992
1862,915087684,959442588
1965,984797520,1004510540
2068,1053114168,1046377840
2171,1122775776,1088380928
2275,1194778968,1129398852
2378,1261551544,1169767860
2481,1331607280,1208554632
2584,1400829996,1248865768
2687,1470863356,1289243704
2791,1536690012,1330390760
2894,1605594364,1372028036
2997,1675530876,1412914728
3100,1744986968,1456380836
3203,1814937024,1495908908
3307,1884865148,1537447688
3410,1953170500,1575684832
3513,2025504544,1615524256
3616,2094304772,1654776296
3719,2162287096,1698594384
3822,2231460824,1741716228
3925,2300905632,1782988592
4028,2372637916,1824224228
4132,2438301204,1863629888
4235,2509098624,1902685640
4338,2577819788,1942729868
4441,2648424752,1983405464
4544,2715988112,2025165160
4647,2784281508,2066319524
4750,2854683960,2108529348
4854,2923139760,2150350788
4957,2992543752,2190187616
5060,3063234528,2231858468
5163,3131700340,2270427024
5266,3203925400,2311203496
5369,3272726092,2349933688
5473,3340435100,2394437012
5576,3409125840,2436149784
5679,3478297048,2477649136
5782,3550452048,2520026884
5885,3615280388,2557658896
5988,3685956856,2598480356
6091,3756139116,2638746948
6195,3826706668,2677505756
6298,3893365284,2720214368
6401,3961590240,2760893132
6504,4031327116,2802890988
6607,4100341236,2844716552
6710,4169945284,2885964640
6814,4238608788,2925229152
6917,4308098368,2963334860
7020,4377905144,3004858448
7123,4448788284,3042321900
7226,4514546724,3086931232
7330,4580985176,3126914516
7433,4651675060,3168412188
7536,4723243172,3210648052
7640,4803939764,3267849604
7743,4891897236,3325681812
7846,4997395164,3362904172
