RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,2.22,2.91,0:05.14,216109,570456,283418,232878
90,2.24,1.27,0:03.79,9,786556,342335,262236
80,2.45,1.15,0:03.89,8,786557,401769,282747
70,2.40,1.32,0:04.01,12,786560,456448,283548
60,2.45,1.86,0:04.81,2301,996139,564597,504042
50,2.54,1.89,0:04.95,163,1048565,565431,553077
40,2.58,1.88,0:04.94,70,1048655,565524,558535
30,2.62,1.85,0:04.91,17,1048711,565595,562801
20,2.71,1.81,0:04.92,17,1048711,565591,562899
10,2.75,1.80,0:04.92,20,1048708,565596,563007
5,2.72,1.85,0:04.91,20,1048708,565595,563061
