TIME,RECV,XMIT
3,0,0
106,0,0
210,0,0
313,0,0
416,0,0
519,0,0
622,0,0
725,0,0
828,0,0
931,0,0
1034,0,0
1137,0,0
1240,0,0
1343,0,0
1446,0,0
1549,0,0
1652,0,0
1755,0,0
1858,0,0
1961,0,0
2064,0,0
2167,0,0
2270,0,0
2373,0,0
2477,17046284,27352164
2580,53965164,74811860
2683,91272348,121080976
2786,130377108,165139504
2890,169585272,210117360
2993,208223400,254602308
3096,246245396,300552084
3199,284084568,346984316
3302,322142652,393046664
3405,360301024,439001320
3509,398527896,485067592
3612,436524252,531131184
3715,474749052,577326604
3819,512578544,624094432
3922,548949756,672138824
4025,585760760,719754744
4128,622500800,767183576
4231,660547044,812519536
4334,699617188,857284928
4437,738700368,901634228
4540,777371460,946255260
4643,815769192,991761772
4746,854140976,1036947832
4850,892291940,1083085952
4953,930559912,1128675492
5056,956333516,1160521664
