RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,5.49,0.92,0:06.42,20,678181,866,591
90,5.63,0.88,0:06.51,30,689368,38901,11476
80,5.68,0.82,0:06.51,26,689375,82583,11366
70,5.73,0.94,0:06.68,68,699577,154126,24185
60,5.69,1.43,0:07.14,21756,741308,243983,82718
50,5.68,1.66,0:07.37,11710,833405,345170,163499
40,5.84,1.90,0:07.79,11791,973480,445172,302261
30,5.99,2.24,0:08.37,23546,1139676,560434,497483
20,6.04,2.25,0:08.50,2436,1224571,658767,584248
10,6.25,2.54,0:08.94,4595,1370750,712978,739587
5,7.05,2.61,0:09.79,4462,1444588,771648,809601
