RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,3.50,0.12,0:03.62,0,100590,0,0
90,3.56,0.24,0:03.84,933,140776,44442,42412
80,3.56,0.30,0:03.90,4008,153212,60117,55194
70,3.54,0.36,0:03.94,4158,162737,73944,66204
60,3.56,0.41,0:04.00,6495,172026,77857,75596
50,3.63,0.69,0:04.36,33526,221640,117182,108986
40,3.92,1.79,0:05.82,16142,1100002,552336,584757
30,4.01,2.10,0:06.29,2615,1379866,709002,764704
20,3.89,2.18,0:06.27,32,1382707,709360,776514
10,4.00,2.17,0:06.33,2374,1388202,713256,779043
5,4.16,3.61,0:07.92,82228,1812354,821657,1239052
