RATIO,CPU,PAGE_FAULT_HIT,PAGE_FAULT_TIME,PAGE_FAULT_S2,SWAPIN_HIT,SWAPIN_TIME,SWAPIN_S2,EVICT_HIT,EVICT_TIME,EVICT_S2,SYNC_TIME,LOCK_MINPF_HIT,LOCK_MINPF_TIME,LOCK_MINPF_S2
100,0,99560,73701.34,586.450,,,,,,,6273.472,,,
100,1,1471,2502.437,297.812,,,,,,,1086.042,,,
100,2,172,290.150,0.875,,,,,,,,,,
100,3,1111,1392.793,1.454,,,,,,,,,,
100,4,196,236.439,0.498,,,,,,,,,,
90,0,115873,155312.5,852285.8,138,4672.863,2805.744,1,16094.81,0.000,25901.09,22655,35094.49,2869.626
90,1,26052,107114.9,1007031,795,6582.977,25.313,,,,23087.59,32403,47235.61,17078.79
90,2,258,416.348,1.776,,,,,,,,,,
90,3,1837,2414.784,1.358,9,68.475,1.979,,,,,9,0.541,0.000
90,4,549,713.059,3.178,,,,,,,,,,
80,0,121408,168430.0,113349.0,302,6661.843,1680.057,3,48940.58,8325741,29903.17,27769,36514.94,6476.303
80,1,33045,127421.1,115916.1,2000,18911.73,68.748,,,,26181.37,37618,49424.43,21652.22
80,2,452,626.933,1.004,,,,,,,,,,
80,3,1576,2060.844,1.584,,,,,,,,,,
80,4,1441,1642.508,0.978,,,,,,,,,,
70,0,126532,167926.9,153306.5,175,4229.659,2465.319,3,52694.32,4003532,33782.71,31337,27339.30,4780.257
70,1,40280,145831.5,51013.32,3463,29793.84,153.781,,,,29637.16,42327,46677.90,107478.2
70,2,468,652.384,1.601,,,,,,,,,,
70,3,1314,1422.666,2.159,,,,,,,,,,
70,4,534,671.323,0.492,,,,,,,,,,
60,0,129811,169753.2,281447.1,69,3532.658,6547.644,4,69862.71,11629532,35686.21,34203,23646.27,7300.518
60,1,47582,159324.0,327522.4,5347,41604.06,210.827,,,,30671.49,47483,44366.56,14466.44
60,2,384,592.921,1.375,,,,,,,,,,
60,3,1592,2060.873,2.013,16,116.670,1.145,,,,,16,0.776,0.000
60,4,657,783.836,1.628,,,,,,,,,,
50,0,167491,330936.7,347745.5,14841,136322.0,19135.92,4,54851.67,2043514,39595.24,52924,24635.51,41656.57
50,1,82409,301169.7,556561.2,18530,158711.3,4094.230,,,,35783.58,66237,43350.34,39164.42
50,2,839,1284.310,3.021,,,,,,,,,,
50,3,2110,2691.951,37.086,,,,,,,,,,
50,4,1534,1907.659,2.432,8,59.527,1.118,,,,,8,0.493,0.000
40,0,647370,854616.2,6868746,2350,46559.13,2240.038,4,68622.91,7744811,277858.9,308936,33692.78,36134.46
40,1,469160,717120.4,3302959,1783,34343.65,367.649,,,,244227.4,277184,68762.89,169368.1
40,2,562,1045.438,4.948,32,243.556,13.293,,,,,32,1.232,0.000
40,3,834,1327.229,3.645,,,,,,,,,,
40,4,3356,3766.269,29.072,,,,,,,,,,
30,0,744175,1126687,109645.6,3067,75396.03,6810.218,4,59294.89,4955134,374319.2,377531,68198.22,485326.1
30,1,610815,967254.0,4180161,2389,58654.54,1936.776,,,,349678.9,348483,62140.82,102626.5
30,2,335,629.582,3.011,,,,,,,,,,
30,3,837,1290.511,1.854,,,,,,,,,,
30,4,328,385.859,1.111,,,,,,,,,,
20,0,751114,1131190,10444047,275,6389.035,1824.381,4,65133.28,3372652,403933.0,389679,82983.73,500090.8
20,1,630073,997110.9,4545209,168,4610.320,258.418,,,,390053.7,358779,66116.40,265560.8
20,2,355,604.534,1.424,,,,,,,,,,
20,3,1119,1638.093,2.102,,,,,,,,,,
20,4,885,1145.594,1.943,,,,,,,,,,
10,0,752987,1179728,422949.2,105,3694.160,3837.608,7,72085.49,6537212,429789.6,394675,87927.87,129948.1
10,1,630073,1036185,4650421,,,,,,,412368.4,359296,68404.45,100852.1
10,2,616,1001.146,2.152,,,,,,,,,,
10,3,2158,3310.331,27.459,16,130.764,18.480,,,,,16,0.733,0.000
10,4,2201,2903.586,26.696,,,,,,,,,,
5,0,756390,1299253,4589848,1601,50151.36,1855.398,25,65410.28,503650.6,464652.1,397083,89139.90,137657.3
5,1,635414,1147329,9202491,3224,53593.81,2587.961,,,,439943.3,360356,53257.84,205499.1
5,2,627,1117.874,2.409,15,108.161,1.303,,,,,16,0.892,0.000
5,3,3429,5484.243,8.602,,,,,,,,,,
5,4,2103,2772.329,79.761,,,,,,,,,,
