TIME,RECV,XMIT
5,0,0
108,585340,40668528
211,1694992,115668132
314,2792020,191140788
418,4118920,281122848
521,15528120,407299404
625,100036344,475991484
728,178582204,546334660
832,267287244,617750732
935,346411960,689563660
1039,438893248,759547848
1142,523997412,828908364
1245,610422176,895621868
1349,690027404,966939848
1452,782183224,1038531316
1556,868225740,1108033884
1659,958590868,1177229196
1763,1041410484,1251584672
1866,1131499752,1322816596
1970,1217044140,1391175240
2073,1306066384,1458669988
2177,1387418260,1532060896
2280,1475806172,1601397472
2384,1565883988,1674645040
2487,1655207936,1740132800
2591,1736434528,1813844760
2694,1824481152,1883691952
2798,1911635860,1954809240
2901,1999632452,2026898812
3005,2087384168,2098276556
3108,2177550496,2172502584
3212,2265311264,2242658852
3316,2352017448,2312972036
3419,2436709596,2381361708
3523,2520466732,2455972824
3627,2608422984,2520922552
3730,2693681624,2590487684
3834,2779613420,2658222820
3938,2857028544,2728092736
4042,2976533568,2824302112
4145,3085946856,2903837980
