RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,3.96,0.10,0:01.60,0,100476,0,0
90,4.14,0.28,0:01.78,1169,140329,44345,41692
80,4.17,0.35,0:01.83,2134,151037,57511,52169
70,4.16,0.43,0:01.86,2981,163019,74076,64379
60,4.14,0.46,0:01.87,3917,168508,74908,72114
50,4.70,0.79,0:02.17,28238,210417,108339,102950
40,5.35,1.95,0:02.81,8043,979001,487066,466451
30,5.54,2.90,0:03.24,9449,1336898,686532,731475
20,5.06,3.29,0:03.25,232,1375075,705646,767581
10,5.70,3.11,0:03.42,124,1382576,709333,775091
5,5.92,3.71,0:03.97,5016,1389991,717569,783457
