TIME,RECV,XMIT
4,0,0
107,0,0
211,0,0
314,0,0
417,0,0
520,0,0
623,0,0
726,0,0
830,1158592,80767992
933,2441992,169472472
1036,3742876,258978428
1139,5057340,349474800
1242,6311040,435820488
1345,7479680,516462504
1448,8620356,595723128
1551,9758116,674410344
1655,10860168,750253340
1758,12018760,830276328
1861,13170908,910059312
1964,14337252,990306024
2067,15472968,1068888984
2171,16621456,1148371152
2274,17764300,1227491688
2377,18914028,1306762080
2480,20066672,1386000984
2583,21222040,1465861080
2687,22379704,1545956852
2790,23528936,1625416200
2893,86583560,1713740104
2996,186631620,1806289236
3099,286941696,1899530732
3201,385427368,1994127736
3304,482280300,2089976776
3407,579196908,2186010824
3510,675763808,2282759144
3613,799320000,2291011764
3716,925203248,2293197528
3819,1051115392,2295363640
3922,1176876736,2297510160
4025,1302684696,2299658008
4128,1428538364,2301831108
4231,1554395100,2303979328
4333,1680129344,2306124588
4436,1805879844,2308270960
4539,1931875332,2310420956
4642,2057715812,2312569176
4745,2183306964,2314714952
4848,2305062932,2316772152
