TIME,RECV,XMIT
4,0,0
107,0,0
210,0,0
313,413168,29304624
417,1616836,111768956
520,3701236,229208924
623,27977084,291583988
726,32373412,296349508
829,55314188,320623072
932,72610676,340405272
1035,96660060,346392116
1138,116302460,368179308
1241,135311656,385791128
1344,148923100,390613912
1447,177815544,416183460
1550,197716684,432931052
1653,224768696,448887584
1756,249514700,455547176
1859,254284300,455628576
1963,274401732,475828044
2066,297821228,492317152
2169,314248692,505060540
2272,331908424,515547648
2375,349850248,526186880
2478,361700276,535552100
2581,380720728,553008552
2684,405221768,575032164
2787,429587536,599284988
2891,451694404,624559680
2994,473827516,639386816
3097,487694508,646472540
3200,522492736,678602848
3303,542484708,694043360
3406,565879364,712460644
3509,596633272,724321516
3612,602087960,724413720
3715,617662336,736215512
3818,637269800,757185656
3921,663796376,775146224
4024,680172680,792835280
4127,703257516,809997960
4230,721853216,826011508
4334,742452560,841290840
4437,762498660,858365544
4540,785254740,874136716
4643,802474460,887364044
4746,823154576,908683588
4849,845083596,921557892
4952,866257716,937416576
5055,885095212,955777140
5158,901981268,960881332
