RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,2.20,1.52,0:04.21,32312,754253,283642,255128
90,2.40,1.38,0:04.27,32427,754138,343814,255726
80,2.34,1.55,0:04.33,32775,753790,412012,283467
70,2.35,1.57,0:04.38,32783,753789,464198,284252
60,2.44,2.61,0:05.42,84772,915700,564568,503438
50,2.39,2.40,0:05.23,67568,981160,565346,549097
40,2.60,2.34,0:05.23,76314,972413,565528,559605
30,2.56,4.61,0:07.19,485269,563459,565587,563147
20,2.65,2.14,0:05.03,70292,978436,565587,563128
10,2.58,4.59,0:07.17,524311,524417,565588,563122
5,2.67,2.42,0:05.20,124109,924619,565589,563120
