RATIO,USER,SYSTEM,WALLCLOCK,MAJOR_FAULTS,MINOR_FAULTS,PAGES_EVICTED,PAGES_SWAPPED_IN
100,3.65,0.14,0:03.80,0,104760,0,0
90,3.66,0.23,0:03.89,5097,121396,26633,16970
80,3.64,0.33,0:03.98,4178,156551,63457,54455
70,3.64,0.41,0:04.05,4760,172441,74476,72413
60,3.71,0.35,0:04.06,3970,177972,75422,78614
50,3.78,0.46,0:04.25,15558,196067,91381,91508
40,3.87,1.36,0:05.24,69473,427905,238107,227999
30,4.38,1.90,0:06.30,18651,1269873,650241,671749
20,4.38,2.13,0:06.52,32463,1295851,681742,742079
10,4.88,3.79,0:08.71,37637,2626081,1281398,1543997
5,4.76,3.94,0:08.73,36698,2629069,1282832,1613553
